acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.44,0.88,0.55,0.18,0.9,32.15
0.0,0.45,0.87,0.82,0.35,1.5,32.29
0.0,0.43,0.88,0.9,0.67,1.48,32.39
0.0,0.44,0.87,0.9,0.7,1.5,32.34
-0.0,0.44,0.87,0.44,0.87,1.56,32.2
0.0,0.44,0.87,0.44,0.92,1.45,32.29
0.0,0.44,0.88,0.67,1.08,1.53,32.15
0.0,0.44,0.88,0.67,1.15,1.62,32.2
0.01,0.45,0.88,0.27,0.99,1.42,32.2
0.0,0.46,0.88,0.18,0.64,1.21,32.25
0.0,0.45,0.87,0.29,0.46,0.84,32.29
0.0,0.45,0.88,0.24,0.81,0.58,32.34
0.01,0.44,0.87,0.44,0.85,0.79,32.34
0.01,0.44,0.87,0.15,0.76,0.7,32.2
0.0,0.44,0.87,-0.35,0.38,0.55,32.34
0.0,0.45,0.88,-0.05,0.27,0.34,32.29
0.0,0.44,0.88,0.31,0.47,0.26,32.29
0.01,0.44,0.87,0.38,0.75,0.4,32.25
0.0,0.44,0.87,0.18,0.46,0.5,32.29
0.01,0.44,0.87,0.32,0.44,0.61,32.29
0.0,0.44,0.88,0.12,0.58,0.78,32.25
-0.0,0.44,0.88,0.55,0.61,1.07,32.2
0.0,0.44,0.87,0.67,0.66,1.24,32.29
0.01,0.44,0.87,0.64,0.53,1.31,32.15
0.01,0.44,0.88,0.38,0.69,1.45,32.2
0.01,0.44,0.88,0.53,0.41,1.19,32.34
0.0,0.44,0.87,1.11,0.63,0.98,32.34
-0.0,0.45,0.88,1.25,1.04,0.96,32.2
-0.01,0.45,0.87,0.89,1.18,1.18,32.25
0.0,0.43,0.87,-0.08,0.76,1.44,32.34
0.0,0.43,0.87,0.66,0.64,1.31,32.11
0.01,0.44,0.87,1.36,0.49,1.08,32.25
0.0,0.46,0.87,0.37,-0.7,0.95,32.29
0.0,0.45,0.87,0.58,-0.76,0.92,32.2
-0.01,0.45,0.87,-0.02,-0.06,1.59,32.25
-0.01,0.45,0.87,-0.4,1.21,3.39,32.2
0.0,0.43,0.87,0.08,2.24,4.31,32.29
0.02,0.42,0.87,0.11,2.05,2.79,32.34
0.01,0.42,0.89,-0.02,2.02,1.71,32.29
0.0,0.44,0.88,0.17,0.46,1.16,32.25
0.01,0.45,0.88,0.81,-1.24,0.85,32.34
0.01,0.46,0.87,0.56,0.05,1.11,32.29
0.01,0.47,0.87,0.27,1.37,1.76,32.2
0.01,0.45,0.86,-0.7,1.05,1.86,32.34
0.01,0.44,0.87,-0.95,0.63,1.01,32.29
0.01,0.43,0.87,-0.34,0.08,0.09,32.15
0.01,0.43,0.88,0.7,0.08,-0.46,32.25
0.01,0.44,0.87,0.61,0.08,-0.21,32.29
0.0,0.44,0.87,-0.08,-0.14,0.24,32.15
0.0,0.44,0.87,-0.23,0.11,0.64,32.2
-0.0,0.44,0.88,-0.02,0.76,1.21,32.2
0.0,0.44,0.87,0.41,0.9,1.37,32.25
0.01,0.44,0.88,0.47,0.9,1.6,32.2
0.01,0.45,0.88,0.43,0.85,1.83,32.29
0.01,0.43,0.87,0.17,0.96,2.06,32.25
0.01,0.44,0.88,0.52,1.08,1.92,32.29
0.01,0.45,0.88,0.76,1.51,1.69,32.29
0.01,0.44,0.88,0.52,0.84,0.73,32.25
0.01,0.45,0.87,0.58,0.64,0.2,32.2
-0.01,0.45,0.88,0.72,0.7,0.27,32.25
-0.01,0.45,0.88,-0.12,0.24,0.6,32.25
-0.0,0.45,0.87,-0.09,1.24,0.99,32.29
0.01,0.43,0.87,-0.73,1.57,0.27,32.25
0.0,0.43,0.87,-1.51,0.72,-0.03,32.25
0.01,0.44,0.87,-1.31,0.61,-0.23,32.2
0.01,0.44,0.88,-0.09,0.05,-0.38,32.29
0.0,0.45,0.87,0.23,0.34,-0.61,32.25
-0.0,0.45,0.87,0.02,0.95,-0.06,32.29
0.01,0.44,0.87,-0.69,0.85,0.56,32.25
0.0,0.43,0.87,-0.89,1.33,0.99,32.29
0.0,0.44,0.86,-0.09,1.62,1.21,32.29
0.01,0.43,0.87,0.38,0.89,1.07,32.25
0.01,0.44,0.87,0.58,0.73,1.02,32.2
0.0,0.43,0.88,0.26,1.24,1.36,32.2
0.0,0.44,0.87,0.31,1.53,1.34,32.15
0.01,0.43,0.87,0.27,1.62,1.21,32.29
-0.01,0.44,0.87,0.35,1.18,1.25,32.2
0.0,0.44,0.87,-0.09,0.66,1.3,32.25
0.01,0.44,0.88,-0.05,0.89,1.19,32.2
0.01,0.44,0.87,-0.17,0.93,1.08,32.25
0.0,0.44,0.87,0.11,1.08,0.9,32.25
0.01,0.45,0.87,0.18,0.76,0.64,32.2
-0.0,0.44,0.87,0.5,0.67,0.32,32.25
0.0,0.44,0.86,0.56,0.47,0.34,32.25
0.0,0.44,0.88,0.52,0.81,0.61,32.29
0.0,0.44,0.87,0.64,0.55,0.72,32.25
0.01,0.44,0.87,0.44,0.69,0.92,32.39
0.0,0.44,0.88,0.52,0.75,1.34,32.29
0.0,0.44,0.88,0.9,1.47,1.19,32.25
0.0,0.44,0.87,0.81,1.5,1.62,32.2
0.0,0.44,0.88,0.78,1.6,1.85,32.2
0.0,0.44,0.88,0.85,1.37,1.68,32.25
-0.0,0.44,0.88,1.01,1.44,1.8,32.2
-0.0,0.44,0.87,0.9,1.89,2.03,32.25
0.0,0.45,0.88,0.78,2.14,2.18,32.34
0.0,0.44,0.87,0.73,2.03,1.98,32.2
0.01,0.44,0.87,0.66,1.73,1.51,32.25
-0.0,0.45,0.88,0.6,1.33,1.19,32.25
0.0,0.44,0.88,0.73,1.24,1.13,32.29
0.0,0.45,0.88,0.56,1.34,1.05,32.2
0.0,0.45,0.88,0.44,1.34,1.11,32.34
0.0,0.44,0.87,0.35,1.27,0.93,32.2
0.01,0.44,0.87,0.6,0.92,0.98,32.15
0.0,0.44,0.87,0.69,1.05,0.76,32.29
0.0,0.44,0.88,0.41,1.16,0.95,32.29
-0.0,0.44,0.87,0.58,1.34,1.04,32.15
-0.0,0.44,0.88,0.7,1.6,1.16,32.2
0.0,0.44,0.88,0.84,1.68,1.48,32.2
0.0,0.44,0.87,0.89,1.73,1.69,32.25
0.01,0.44,0.88,0.67,1.47,1.85,32.29
-0.0,0.44,0.87,0.9,1.53,1.59,32.2
0.01,0.44,0.88,1.16,1.56,1.59,32.25
0.0,0.44,0.87,1.25,1.74,1.83,32.29
0.01,0.44,0.88,1.33,1.89,1.71,32.15
-0.0,0.44,0.89,1.25,1.54,1.57,32.25
-0.0,0.45,0.88,1.16,1.27,1.48,32.29
-0.0,0.45,0.87,1.18,1.54,1.73,32.34
0.0,0.45,0.87,0.93,1.74,1.74,32.15
0.01,0.44,0.88,0.69,1.8,1.69,32.29
0.0,0.44,0.88,0.64,1.54,1.21,32.25
0.0,0.45,0.88,1.02,1.36,0.72,32.29
-0.0,0.44,0.87,1.39,1.51,0.64,32.2
-0.01,0.45,0.88,1.57,2.38,0.79,32.25
-0.01,0.45,0.88,0.61,1.88,1.11,32.2
-0.01,0.44,0.88,0.02,1.19,1.42,32.29
0.01,0.44,0.88,0.95,1.42,1.13,32.34
0.01,0.45,0.87,0.47,0.46,0.96,32.2
0.0,0.45,0.87,0.82,-0.17,1.01,32.15
-0.0,0.45,0.88,1.19,0.84,1.27,32.25
-0.02,0.45,0.88,0.02,1.85,2.6,32.29
-0.0,0.44,0.87,0.31,2.81,4.15,32.25
0.01,0.43,0.87,0.52,3.3,4.29,32.25
0.01,0.42,0.88,0.2,2.4,2.87,32.2
0.01,0.44,0.87,0.46,0.84,1.79,32.2
0.0,0.45,0.88,1.36,0.08,1.62,32.29
0.01,0.46,0.88,2.26,0.96,2.11,32.29
0.01,0.46,0.87,1.98,1.8,1.8,32.25
0.0,0.45,0.87,0.49,2.0,2.12,32.2
0.01,0.44,0.87,-0.17,1.42,1.91,32.29
0.0,0.44,0.87,0.08,1.33,1.19,32.25
0.01,0.43,0.87,1.27,1.11,0.44,32.29
0.01,0.44,0.86,1.42,0.92,0.34,32.25
-0.0,0.44,0.88,0.64,0.84,0.44,32.34
-0.0,0.45,0.86,0.52,0.99,0.93,32.2
-0.01,0.45,0.87,0.49,1.65,1.31,32.2
-0.01,0.45,0.87,0.82,2.09,1.45,32.25
0.0,0.45,0.88,0.95,1.66,1.69,32.29
-0.0,0.45,0.87,1.27,1.31,1.68,32.25
0.01,0.45,0.88,0.99,1.45,1.8,32.25
0.0,0.45,0.88,0.78,1.86,2.18,32.29
0.0,0.45,0.88,1.01,2.24,2.06,32.15
