acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.02,0.52,0.85,-1.21,3.97,2.85,32.48
0.01,0.52,0.83,-3.01,3.13,3.3,32.44
0.0,0.52,0.85,-4.29,1.68,2.12,32.58
-0.0,0.51,0.84,-3.42,0.61,1.85,32.53
-0.01,0.52,0.86,-3.69,0.14,1.83,32.44
-0.01,0.51,0.85,-2.38,0.98,3.05,32.48
0.01,0.51,0.84,-4.47,2.29,3.44,32.44
0.01,0.49,0.84,-5.82,2.06,3.5,32.53
0.0,0.5,0.82,-6.93,0.55,3.82,32.39
-0.0,0.51,0.82,-9.42,-0.95,3.57,32.44
-0.01,0.52,0.82,-9.22,-1.13,4.31,32.48
0.02,0.51,0.85,-5.69,0.61,6.09,32.48
0.01,0.52,0.85,-2.21,0.92,5.97,32.53
-0.01,0.51,0.86,0.53,3.21,5.82,32.48
-0.01,0.47,0.85,0.24,5.91,5.97,32.48
-0.01,0.47,0.86,-2.17,5.88,7.11,32.53
-0.01,0.48,0.82,-3.22,4.18,7.3,32.48
0.02,0.5,0.83,-4.56,1.83,7.82,32.53
0.0,0.53,0.84,-4.85,-2.06,7.37,32.34
-0.01,0.54,0.85,-3.13,-1.54,6.64,32.48
-0.02,0.54,0.86,-1.01,3.4,7.05,32.53
-0.0,0.52,0.85,1.18,5.77,6.21,32.53
-0.0,0.5,0.84,1.22,3.91,3.5,32.48
-0.0,0.49,0.84,0.7,0.84,1.53,32.53
-0.0,0.48,0.85,0.2,-1.76,0.49,32.48
-0.02,0.48,0.83,0.67,-1.39,-0.06,32.58
-0.02,0.5,0.84,0.18,0.32,-0.41,32.53
0.0,0.5,0.84,0.73,0.81,-0.24,32.48
-0.01,0.51,0.84,2.06,0.5,0.4,32.53
0.0,0.51,0.83,1.44,-1.11,0.87,32.44
0.0,0.51,0.84,0.9,-1.54,1.71,32.48
0.01,0.5,0.84,1.07,-0.2,4.26,32.53
0.01,0.5,0.84,0.32,1.05,6.23,32.53
0.02,0.51,0.85,0.38,2.09,5.94,32.48
0.02,0.5,0.84,0.08,0.95,5.13,32.58
0.02,0.51,0.84,1.56,-0.5,4.26,32.48
0.01,0.52,0.84,0.93,-1.6,4.47,32.48
0.01,0.52,0.84,0.0,-1.34,5.91,32.44
-0.0,0.52,0.84,-0.78,-0.41,5.48,32.48
0.0,0.51,0.85,-0.56,0.99,4.79,32.48
-0.01,0.5,0.84,-0.76,0.6,2.99,32.44
-0.0,0.5,0.84,0.08,-0.67,2.14,32.48
0.0,0.52,0.84,0.35,-1.04,1.36,32.53
0.01,0.51,0.85,-0.21,-1.89,0.98,32.44
0.02,0.5,0.85,-0.73,-1.98,-0.05,32.48
0.0,0.5,0.85,-0.37,-3.01,-2.0,32.48
0.02,0.51,0.83,-0.27,-3.01,-1.45,32.48
0.02,0.51,0.84,-0.52,-2.7,-1.25,32.48
0.03,0.51,0.85,-1.16,-2.58,-1.36,32.53
0.03,0.5,0.85,-2.35,-1.68,-0.6,32.48
0.02,0.5,0.85,-2.5,-0.78,-0.34,32.39
-0.0,0.48,0.85,-1.73,-0.49,-0.23,32.53
0.01,0.49,0.85,-1.69,0.08,1.31,32.58
0.01,0.49,0.84,-2.87,0.35,3.4,32.53
0.02,0.51,0.84,-4.92,-0.32,4.26,32.53
0.03,0.5,0.86,-4.15,-0.53,3.77,32.48
0.02,0.5,0.87,-2.34,-0.03,2.5,32.39
0.02,0.49,0.85,-1.11,0.52,1.27,32.48
0.02,0.49,0.85,-1.33,1.42,2.17,32.48
0.02,0.5,0.84,-1.91,1.59,2.44,32.53
0.01,0.5,0.83,-2.02,1.6,2.32,32.48
-0.0,0.51,0.85,-2.73,2.72,3.04,32.48
0.0,0.51,0.87,-3.57,5.15,6.29,32.44
-0.0,0.5,0.88,-4.46,9.33,8.24,32.48
0.01,0.48,0.89,-5.4,10.46,8.6,32.53
0.01,0.48,0.88,-5.18,7.57,6.14,32.44
0.01,0.49,0.84,-2.79,6.47,4.41,32.48
0.03,0.47,0.92,-2.63,4.49,5.31,32.48
-0.01,0.47,0.84,-5.37,-1.15,2.46,32.44
-0.0,0.45,0.86,-10.47,0.34,0.7,32.48
-0.01,0.43,0.85,-8.38,-0.67,-1.86,32.53
-0.0,0.44,0.84,-5.88,-0.43,-3.68,32.48
-0.01,0.45,0.86,-4.41,-1.54,-6.55,32.48
0.0,0.49,0.84,-3.16,-2.67,-8.11,32.53
0.01,0.49,0.85,-4.5,-3.28,-8.02,32.48
0.03,0.47,0.85,-1.16,-5.39,-10.5,32.48
0.04,0.47,0.86,3.08,-7.76,-14.79,32.44
0.03,0.48,0.83,7.3,-10.17,-19.02,32.58
0.02,0.48,0.83,10.31,-10.72,-21.92,32.58
0.05,0.63,0.8,5.68,-4.93,-14.78,32.53
0.01,0.49,0.84,4.18,-0.11,-10.2,32.48
-0.02,0.4,0.9,-7.11,-10.85,-13.94,32.34
-0.0,0.55,0.74,-0.31,-1.73,-4.17,32.44
-0.03,0.41,0.89,6.49,2.21,2.56,32.48
-0.03,0.47,0.87,10.41,2.03,0.75,32.53
-0.0,0.46,0.86,7.71,5.51,3.51,32.48
0.02,0.47,0.87,3.45,6.08,2.99,32.48
0.02,0.5,0.85,3.82,4.37,1.08,32.53
0.02,0.51,0.85,5.13,4.69,0.89,32.48
0.01,0.52,0.85,6.58,4.11,1.08,32.58
-0.02,0.51,0.85,4.06,3.13,2.17,32.53
-0.01,0.5,0.88,1.01,0.92,3.44,32.58
-0.01,0.49,0.87,0.29,1.82,5.59,32.53
-0.0,0.47,0.87,1.39,4.02,5.98,32.53
0.01,0.49,0.84,0.84,4.23,4.26,32.48
0.02,0.51,0.85,0.76,2.26,4.31,32.53
0.02,0.52,0.86,0.49,1.37,4.66,32.48
0.04,0.52,0.85,1.01,0.05,4.72,32.48
0.04,0.53,0.83,0.66,0.85,4.02,32.53
0.03,0.49,0.85,0.15,0.5,3.44,32.48
0.02,0.47,0.87,1.15,-0.66,2.02,32.48
0.01,0.47,0.86,0.92,-0.99,-0.72,32.44
-0.0,0.49,0.85,0.21,-2.32,-3.68,32.48
0.01,0.5,0.85,-2.24,-2.44,-2.06,32.53
0.02,0.5,0.86,-1.57,-4.03,-2.0,32.53
0.02,0.5,0.85,-0.08,-6.03,-3.89,32.48
0.0,0.47,0.86,2.09,-6.23,-2.34,32.44
0.01,0.47,0.86,2.53,-3.89,0.37,32.53
0.04,0.5,0.85,0.73,-0.58,0.76,32.48
0.05,0.51,0.85,0.24,0.9,0.61,32.53
0.03,0.47,0.85,2.82,0.12,0.29,32.58
0.03,0.49,0.86,4.03,-3.05,-0.85,32.39
0.02,0.5,0.86,1.89,-5.08,-1.86,32.44
-0.01,0.49,0.84,0.99,-4.55,-1.68,32.58
-0.01,0.51,0.86,0.43,-3.56,-1.6,32.58
-0.0,0.53,0.86,-1.18,-3.4,-0.21,32.53
0.01,0.51,0.84,-0.37,-4.12,-1.37,32.48
0.02,0.49,0.84,1.13,-4.67,-2.78,32.44
0.01,0.49,0.82,0.98,-4.92,-5.02,32.44
0.01,0.49,0.85,-1.74,-3.3,-5.74,32.58
-0.01,0.4,0.88,0.46,-0.76,-7.6,32.53
-0.05,0.37,0.9,3.18,-4.41,-21.6,32.44
-0.06,0.64,0.82,-2.61,-13.89,-24.85,32.48
0.07,0.58,0.82,-3.13,-3.16,4.03,32.48
0.05,0.47,0.82,7.4,3.48,11.8,32.44
0.05,0.5,0.82,4.96,9.53,10.35,32.48
0.01,0.51,0.84,-3.73,3.02,0.93,32.53
-0.01,0.48,0.85,-5.82,-2.93,-2.02,32.48
0.04,0.48,0.84,-0.18,-2.21,0.58,32.39
0.04,0.48,0.85,4.56,2.08,2.79,32.53
0.04,0.48,0.83,5.36,3.94,3.85,32.48
0.01,0.49,0.83,0.17,2.09,4.63,32.48
-0.0,0.48,0.85,-1.59,1.02,4.79,32.44
0.01,0.48,0.85,0.85,3.02,5.62,32.39
0.01,0.48,0.86,2.69,4.63,4.95,32.48
0.03,0.5,0.86,2.49,3.48,3.42,32.53
0.03,0.5,0.84,2.23,0.99,1.79,32.48
0.02,0.51,0.84,1.69,-0.2,0.66,32.44
0.01,0.51,0.86,1.18,0.24,0.89,32.53
0.01,0.5,0.86,1.27,1.97,2.2,32.48
0.02,0.5,0.85,1.34,3.57,2.43,32.44
0.01,0.49,0.86,1.11,3.27,1.79,32.53
0.01,0.5,0.87,0.73,1.69,1.13,32.48
-0.0,0.51,0.86,0.82,0.49,0.37,32.44
-0.01,0.51,0.85,0.85,0.81,-0.06,32.48
-0.01,0.5,0.86,0.63,1.85,0.58,32.39
0.01,0.5,0.85,1.25,3.36,1.48,32.53
0.02,0.51,0.87,0.98,3.04,1.42,32.29
0.02,0.51,0.84,0.08,2.53,1.39,32.48
0.01,0.51,0.85,0.41,3.33,0.98,32.53
0.01,0.5,0.85,0.66,4.58,0.7,32.39
0.01,0.5,0.85,0.98,5.56,0.35,32.48
0.0,0.5,0.85,1.66,6.63,0.09,32.44
-0.0,0.5,0.84,0.72,5.88,-0.05,32.48
