acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.5,0.84,-0.47,1.22,1.25,32.39
0.01,0.5,0.85,-0.14,0.24,1.02,32.58
0.02,0.51,0.85,0.35,-0.69,0.78,32.53
0.02,0.52,0.85,0.44,-1.63,1.02,32.48
0.02,0.52,0.84,1.31,-1.1,1.19,32.53
0.01,0.52,0.85,0.56,0.02,1.83,32.53
-0.0,0.51,0.85,-0.61,1.11,3.01,32.58
0.01,0.5,0.84,-0.9,1.68,3.5,32.44
0.02,0.49,0.85,-0.72,1.8,2.6,32.48
0.03,0.49,0.85,-0.37,1.34,1.53,32.58
0.03,0.5,0.84,-0.43,-0.47,1.33,32.53
0.03,0.52,0.84,-0.38,-1.8,0.93,32.58
0.03,0.53,0.83,0.02,-1.42,0.9,32.48
0.03,0.53,0.83,0.05,-0.03,0.99,32.44
0.03,0.53,0.83,-0.66,0.98,1.01,32.48
0.03,0.51,0.84,-1.22,1.47,0.5,32.53
0.03,0.49,0.85,-1.02,0.81,-0.24,32.53
0.02,0.5,0.84,-0.56,-0.27,-0.76,32.39
0.03,0.5,0.85,-0.32,-1.24,-1.08,32.44
0.02,0.51,0.84,-0.47,-1.85,-1.5,32.48
0.02,0.51,0.84,-0.55,-1.66,-1.74,32.48
0.02,0.51,0.84,-0.5,-1.31,-1.42,32.53
0.02,0.51,0.84,-0.95,-0.03,-0.98,32.58
0.02,0.51,0.85,-0.27,0.02,-0.37,32.48
0.02,0.51,0.84,-0.34,0.52,0.15,32.53
0.02,0.51,0.84,-0.49,0.79,0.63,32.58
0.03,0.5,0.85,-0.26,1.4,0.85,32.44
0.03,0.5,0.84,-0.93,1.13,0.37,32.53
0.02,0.51,0.85,0.5,0.47,-0.12,32.48
0.01,0.52,0.85,-0.18,-0.46,-0.17,32.53
0.02,0.52,0.85,0.34,-0.37,0.53,32.53
0.02,0.52,0.84,-0.15,1.11,0.53,32.58
0.02,0.5,0.83,-0.82,2.06,0.15,32.53
0.02,0.5,0.84,-1.86,1.07,0.02,32.48
0.02,0.49,0.86,-2.11,-0.03,-0.32,32.39
0.03,0.5,0.84,-1.76,-0.21,-0.87,32.53
0.02,0.51,0.85,-0.37,-0.53,-0.66,32.58
0.02,0.51,0.84,-0.69,-0.24,-0.6,32.58
0.02,0.51,0.84,-1.39,0.64,-0.53,32.44
0.02,0.5,0.85,-1.1,0.7,-0.27,32.58
0.01,0.5,0.84,-1.04,0.72,-0.46,32.53
0.02,0.49,0.85,-0.21,0.55,-0.21,32.53
0.02,0.5,0.84,-0.29,0.81,0.12,32.39
0.02,0.5,0.84,-0.47,0.37,0.12,32.53
0.02,0.5,0.85,-0.24,0.81,-0.23,32.48
0.01,0.5,0.84,0.08,0.95,-0.53,32.48
0.01,0.5,0.84,0.31,0.58,-0.58,32.44
0.02,0.5,0.85,-0.08,0.72,-0.03,32.48
0.02,0.5,0.85,-0.58,0.7,0.26,32.58
0.02,0.5,0.85,-0.21,0.92,0.72,32.53
0.01,0.5,0.84,0.21,1.25,1.05,32.48
0.03,0.5,0.85,0.4,1.1,1.36,32.53
0.03,0.5,0.84,0.64,0.82,1.62,32.53
0.03,0.5,0.84,0.87,0.63,1.68,32.58
0.02,0.5,0.84,1.36,0.89,1.73,32.44
0.02,0.49,0.86,1.37,0.7,1.34,32.53
0.01,0.5,0.85,0.99,0.02,1.07,32.48
0.01,0.51,0.84,0.53,-0.02,0.84,32.44
0.01,0.51,0.84,0.2,0.15,0.92,32.48
0.02,0.51,0.85,-0.05,0.7,1.3,32.58
0.02,0.51,0.85,0.12,0.89,1.34,32.44
0.03,0.5,0.85,0.44,0.99,1.11,32.48
0.03,0.51,0.84,0.67,0.4,0.69,32.53
0.03,0.5,0.85,0.67,0.53,0.78,32.53
0.02,0.51,0.85,0.56,1.21,1.07,32.48
0.02,0.51,0.84,0.32,1.53,1.13,32.53
0.02,0.51,0.84,0.17,1.69,0.96,32.53
0.02,0.51,0.85,0.5,0.87,0.56,32.48
0.03,0.51,0.85,0.46,0.4,-0.03,32.58
0.02,0.51,0.84,0.41,0.46,0.02,32.53
0.02,0.5,0.84,0.29,0.99,0.0,32.48
0.02,0.5,0.84,0.05,1.21,0.11,32.53
0.01,0.5,0.85,0.03,0.14,-0.41,32.58
0.03,0.5,0.85,0.26,1.13,-0.05,32.58
0.03,0.5,0.85,0.6,1.42,0.05,32.53
0.02,0.5,0.85,0.96,0.7,-0.08,32.48
0.02,0.5,0.84,0.67,0.29,0.14,32.53
0.02,0.5,0.85,0.44,0.37,-0.08,32.53
0.02,0.5,0.84,1.42,0.98,0.41,32.48
0.02,0.51,0.84,2.12,1.25,0.78,32.48
0.02,0.51,0.84,1.88,1.42,0.53,32.53
0.02,0.5,0.84,1.25,1.68,0.89,32.58
0.01,0.5,0.84,0.41,1.24,1.04,32.44
0.02,0.5,0.85,0.5,0.72,0.98,32.39
0.02,0.5,0.85,1.22,0.9,0.64,32.48
0.02,0.52,0.84,1.88,0.41,0.72,32.53
0.01,0.52,0.84,2.35,-0.4,0.87,32.39
-0.0,0.51,0.84,0.78,-0.05,1.69,32.58
0.0,0.51,0.84,0.29,1.79,3.19,32.53
0.02,0.49,0.85,-0.26,3.5,2.63,32.48
0.03,0.48,0.85,-0.56,3.54,0.95,32.39
0.02,0.49,0.85,0.27,2.27,0.34,32.53
0.02,0.49,0.85,0.08,-0.27,0.6,32.48
0.03,0.52,0.84,0.02,-2.12,0.27,32.44
0.02,0.53,0.85,0.55,-0.98,0.61,32.48
0.03,0.53,0.83,1.01,1.31,1.13,32.48
0.02,0.51,0.84,0.37,2.5,1.04,32.44
0.02,0.5,0.83,-0.09,2.18,0.23,32.48
0.02,0.5,0.85,-0.12,1.4,-0.27,32.53
0.01,0.49,0.84,1.08,-0.24,0.47,32.62
0.02,0.5,0.84,0.73,-1.08,0.64,32.48
0.01,0.51,0.85,-0.06,-1.01,0.0,32.48
0.02,0.51,0.84,0.06,0.12,-0.02,32.48
0.02,0.51,0.84,0.09,1.01,0.37,32.48
0.02,0.51,0.84,0.87,0.82,0.9,32.53
0.02,0.5,0.84,0.79,0.82,1.44,32.48
0.02,0.5,0.84,0.23,0.61,1.62,32.58
0.03,0.5,0.85,0.27,0.76,1.66,32.44
0.02,0.5,0.84,1.3,1.8,2.12,32.58
0.03,0.5,0.85,0.52,2.0,1.5,32.53
