acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.0,0.43,0.89,0.41,0.24,0.9,32.53
0.01,0.43,0.87,-0.64,-0.84,0.29,32.44
-0.0,0.43,0.88,0.18,-0.76,0.26,32.48
-0.02,0.44,0.88,0.02,-0.89,0.63,32.44
-0.01,0.44,0.88,0.4,-0.08,1.57,32.48
0.0,0.44,0.88,0.53,1.71,0.98,32.58
-0.01,0.43,0.88,0.2,2.21,0.53,32.44
-0.0,0.42,0.88,-0.02,1.28,0.52,32.48
0.0,0.43,0.88,-0.23,-0.11,0.23,32.48
-0.0,0.44,0.88,-0.58,-0.92,-0.11,32.44
0.0,0.44,0.88,-0.9,-0.98,0.05,32.58
0.0,0.44,0.88,-0.58,-0.02,0.38,32.44
0.0,0.43,0.88,-0.26,0.66,0.53,32.53
-0.0,0.42,0.87,0.11,1.27,0.49,32.48
-0.0,0.43,0.87,0.55,1.51,0.47,32.44
-0.0,0.43,0.87,0.34,1.25,0.63,32.48
0.0,0.43,0.88,0.0,0.61,0.69,32.48
0.0,0.43,0.88,-0.34,-0.06,0.5,32.34
-0.0,0.43,0.87,-0.53,-0.27,0.69,32.39
0.0,0.43,0.88,-0.47,0.18,0.89,32.48
0.0,0.44,0.89,-0.47,0.82,0.98,32.53
-0.0,0.43,0.88,0.0,0.87,1.02,32.48
-0.0,0.43,0.88,0.05,0.95,0.89,32.44
0.0,0.43,0.88,-0.08,0.46,0.96,32.44
0.0,0.42,0.88,0.11,-0.03,0.5,32.48
0.0,0.43,0.88,0.34,-0.17,0.52,32.44
0.01,0.43,0.88,0.32,0.32,0.64,32.48
0.0,0.43,0.88,0.72,0.21,0.69,32.48
0.0,0.43,0.89,0.76,0.08,0.43,32.44
-0.0,0.43,0.88,0.49,0.05,0.49,32.48
-0.0,0.43,0.88,0.6,0.15,0.66,32.48
-0.01,0.42,0.88,0.53,0.15,0.79,32.44
-0.0,0.42,0.88,0.29,0.17,1.11,32.39
-0.0,0.43,0.88,0.15,0.34,1.48,32.44
-0.0,0.43,0.87,0.58,0.29,1.48,32.44
0.0,0.43,0.88,0.55,0.44,1.54,32.58
-0.0,0.43,0.89,0.44,0.44,1.54,32.44
0.0,0.44,0.88,0.31,0.41,1.45,32.48
0.0,0.43,0.89,0.43,0.47,1.48,32.39
0.01,0.43,0.88,0.43,0.84,1.8,32.44
0.01,0.43,0.88,0.46,0.89,1.62,32.48
0.0,0.43,0.89,0.75,0.85,1.53,32.48
0.0,0.44,0.88,0.41,0.66,0.95,32.44
0.0,0.43,0.88,0.27,0.53,0.98,32.39
0.01,0.43,0.88,0.02,0.29,0.5,32.44
0.0,0.43,0.87,0.12,0.24,0.2,32.48
0.01,0.43,0.88,0.02,0.47,0.38,32.39
0.0,0.42,0.88,-0.03,0.53,0.24,32.53
0.0,0.43,0.88,-0.02,0.53,0.12,32.48
-0.0,0.43,0.89,0.29,0.63,0.4,32.53
0.0,0.43,0.87,0.0,0.73,0.84,32.44
0.0,0.43,0.89,0.06,0.73,0.95,32.39
0.0,0.43,0.88,0.44,0.76,1.08,32.48
-0.0,0.42,0.88,0.49,0.9,1.21,32.44
0.0,0.43,0.88,0.5,0.82,1.22,32.39
0.0,0.42,0.88,0.43,0.96,1.11,32.44
0.01,0.43,0.88,0.56,0.87,1.42,32.39
0.0,0.43,0.88,0.09,0.63,1.45,32.48
0.0,0.43,0.88,0.27,0.49,1.44,32.53
-0.0,0.43,0.88,0.37,0.37,1.24,32.48
-0.0,0.43,0.88,0.7,0.93,1.25,32.44
0.01,0.43,0.88,1.04,1.85,1.5,32.44
-0.0,0.42,0.88,0.9,2.08,1.76,32.48
0.0,0.42,0.88,0.64,2.38,1.6,32.44
0.0,0.43,0.88,0.87,1.24,1.22,32.48
0.0,0.44,0.87,-0.81,-1.1,0.41,32.39
-0.0,0.45,0.89,-0.93,-1.36,0.5,32.44
-0.01,0.44,0.88,-0.18,-0.14,1.44,32.48
-0.01,0.44,0.88,0.29,1.22,3.01,32.44
-0.0,0.43,0.88,1.42,3.28,4.34,32.44
0.02,0.41,0.88,1.15,5.02,3.92,32.48
0.01,0.41,0.88,0.49,4.06,2.08,32.53
0.0,0.42,0.89,0.38,1.05,0.82,32.48
0.0,0.44,0.88,-0.49,-1.4,0.79,32.48
0.02,0.46,0.88,-1.28,-2.49,0.93,32.53
0.01,0.45,0.88,-1.66,-0.78,1.27,32.48
0.0,0.45,0.88,-1.28,1.16,1.5,32.44
0.0,0.43,0.88,-0.27,2.5,1.45,32.53
0.0,0.42,0.88,0.55,2.7,0.47,32.39
0.01,0.41,0.89,1.08,1.97,-0.11,32.53
-0.0,0.42,0.88,0.43,0.76,-0.44,32.39
-0.0,0.43,0.88,-0.73,-0.44,-0.02,32.29
-0.01,0.43,0.88,-1.34,-0.87,0.31,32.44
-0.0,0.43,0.89,-1.27,-0.2,1.13,32.58
-0.01,0.42,0.88,-0.35,1.19,1.6,32.48
-0.0,0.43,0.89,0.96,2.38,2.09,32.44
0.0,0.43,0.88,1.69,3.08,2.23,32.48
0.01,0.44,0.88,1.4,2.44,2.43,32.34
0.01,0.43,0.88,0.53,1.36,2.26,32.48
0.01,0.43,0.88,0.38,0.9,1.79,32.48
0.01,0.43,0.88,-0.47,0.05,0.93,32.44
0.01,0.43,0.88,0.17,0.63,0.49,32.48
-0.01,0.44,0.89,0.76,1.01,0.7,32.39
-0.01,0.44,0.88,0.73,1.16,1.22,32.44
-0.0,0.44,0.88,0.78,2.31,1.42,32.39
-0.0,0.42,0.88,-0.23,2.95,0.95,32.48
-0.01,0.41,0.88,-0.95,1.74,0.72,32.53
0.0,0.42,0.88,-0.93,0.63,0.85,32.39
0.01,0.43,0.89,-0.43,0.06,0.46,32.44
-0.0,0.43,0.88,0.18,0.6,0.37,32.39
-0.0,0.43,0.88,0.55,1.86,0.58,32.39
-0.0,0.43,0.88,0.27,2.21,1.15,32.44
0.0,0.42,0.88,0.27,2.0,1.37,32.39
0.0,0.42,0.89,0.31,1.65,1.4,32.58
0.01,0.42,0.88,0.24,1.21,1.69,32.44
0.0,0.42,0.88,0.41,1.25,1.42,32.48
0.0,0.42,0.88,0.41,1.24,1.36,32.39
0.0,0.43,0.87,0.29,1.69,1.27,32.44
