acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.01,0.48,0.86,-0.56,0.24,-0.4,32.34
-0.0,0.48,0.85,-0.47,0.23,-0.21,32.25
-0.0,0.48,0.84,-0.47,0.2,-0.58,32.29
-0.01,0.48,0.85,-0.17,0.08,-0.66,32.34
0.0,0.47,0.85,-0.11,0.02,-0.63,32.29
-0.01,0.48,0.85,-0.14,-0.15,-0.5,32.39
-0.01,0.47,0.85,0.34,0.27,-0.12,32.25
-0.01,0.47,0.86,0.69,0.93,-0.41,32.2
-0.02,0.48,0.85,0.76,0.95,-0.24,32.29
-0.02,0.47,0.85,0.34,0.55,0.44,32.25
-0.01,0.47,0.85,0.24,0.7,0.66,32.2
-0.01,0.48,0.86,0.2,-0.05,0.55,32.29
-0.01,0.48,0.85,-0.34,-1.31,0.29,32.25
-0.01,0.48,0.85,0.29,-1.1,0.66,32.2
-0.02,0.49,0.86,0.61,-0.32,1.47,32.25
-0.02,0.48,0.85,0.09,1.07,3.04,32.34
-0.01,0.48,0.85,0.58,2.41,4.08,32.2
0.0,0.46,0.85,0.98,3.01,3.18,32.29
-0.01,0.46,0.86,0.96,2.31,2.32,32.34
-0.0,0.47,0.86,1.45,0.95,2.08,32.2
-0.01,0.49,0.85,1.18,-1.01,1.65,32.25
-0.0,0.49,0.84,0.29,-2.17,1.24,32.39
-0.01,0.5,0.85,-0.43,-0.7,1.85,32.29
-0.01,0.49,0.85,-0.81,0.69,2.53,32.25
-0.0,0.48,0.85,0.26,1.07,1.91,32.29
0.0,0.47,0.86,1.53,1.07,1.05,32.29
0.01,0.48,0.85,1.68,0.12,0.55,32.25
0.0,0.48,0.86,1.13,-0.87,0.23,32.29
-0.01,0.48,0.85,0.53,-1.83,0.46,32.29
-0.01,0.48,0.85,0.34,-1.51,1.01,32.25
-0.01,0.48,0.85,0.4,-0.82,1.74,32.2
-0.01,0.48,0.85,0.56,0.17,1.83,32.25
-0.0,0.48,0.85,0.99,0.02,1.92,32.34
-0.0,0.48,0.86,1.77,-0.23,1.86,32.29
0.01,0.48,0.86,1.89,-0.12,1.94,32.25
-0.0,0.48,0.85,1.56,0.21,2.12,32.25
0.0,0.48,0.86,0.27,-0.21,1.62,32.29
-0.01,0.48,0.86,0.9,0.05,1.48,32.25
-0.01,0.49,0.86,0.76,-1.31,1.18,32.2
-0.0,0.49,0.86,1.47,-1.24,1.91,32.2
0.01,0.49,0.84,1.77,0.6,1.86,32.34
0.0,0.48,0.85,0.46,1.74,1.31,32.2
