acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.01,0.41,0.88,0.26,-0.41,1.15,32.15
-0.0,0.41,0.88,0.5,0.08,0.82,32.11
-0.02,0.4,0.89,0.21,0.35,0.15,32.01
-0.02,0.4,0.89,0.26,0.46,0.23,32.06
-0.03,0.4,0.88,0.73,0.76,0.67,32.11
-0.02,0.4,0.88,0.66,0.73,0.78,32.01
-0.02,0.41,0.88,0.23,0.21,0.6,31.97
-0.02,0.41,0.89,-0.26,-0.18,0.53,32.01
-0.01,0.41,0.89,0.02,0.05,0.92,32.15
-0.01,0.42,0.89,0.24,0.37,1.07,32.06
-0.01,0.41,0.9,0.15,0.05,0.82,32.01
-0.01,0.41,0.89,0.05,-0.18,0.52,32.06
-0.01,0.41,0.89,0.08,0.0,0.43,31.97
-0.02,0.4,0.89,0.4,0.46,0.89,32.11
-0.02,0.4,0.89,0.69,0.44,1.28,32.11
-0.01,0.4,0.89,0.7,-0.66,0.99,32.01
-0.01,0.4,0.89,0.95,-1.16,0.76,32.11
-0.01,0.41,0.89,1.47,-0.69,0.95,32.06
-0.02,0.41,0.9,1.45,-0.09,1.3,32.01
-0.01,0.41,0.89,1.08,0.21,1.6,32.01
-0.01,0.41,0.89,1.53,0.05,1.62,32.06
-0.02,0.4,0.89,1.62,-0.12,1.97,32.01
-0.02,0.41,0.89,1.4,-0.21,2.08,32.06
-0.01,0.42,0.89,0.92,0.17,2.29,32.06
-0.01,0.41,0.89,0.82,0.32,2.17,32.01
-0.01,0.41,0.89,0.89,0.0,1.62,32.01
-0.01,0.41,0.89,0.7,-0.44,1.31,32.06
-0.01,0.41,0.88,0.81,-0.31,1.39,32.11
-0.01,0.41,0.88,0.66,0.15,1.5,32.06
-0.01,0.41,0.88,0.38,0.34,1.57,32.11
-0.01,0.41,0.89,0.08,0.17,1.4,32.11
-0.01,0.41,0.89,-0.03,0.14,1.24,31.97
-0.01,0.42,0.9,0.43,0.08,0.66,32.11
-0.01,0.41,0.88,0.09,0.06,0.32,32.01
-0.01,0.4,0.89,-0.12,-0.06,0.37,32.06
-0.01,0.41,0.88,-0.55,0.0,0.73,32.01
-0.01,0.4,0.89,-0.58,-0.21,0.61,32.11
-0.01,0.4,0.88,-0.14,-0.02,0.37,32.15
-0.0,0.41,0.89,-0.06,0.06,0.38,32.11
-0.01,0.41,0.89,-0.32,0.0,0.38,32.06
-0.0,0.41,0.88,-0.69,0.24,0.9,32.06
-0.0,0.41,0.9,-0.32,0.52,0.98,32.01
-0.0,0.41,0.9,0.26,0.53,0.37,32.06
-0.01,0.41,0.88,0.61,0.11,-0.32,32.01
-0.02,0.4,0.88,0.85,0.56,-0.53,32.01
-0.02,0.4,0.89,-0.21,0.44,0.15,32.06
-0.01,0.41,0.9,-0.92,0.41,0.92,32.01
-0.0,0.4,0.9,0.05,0.31,0.85,32.11
-0.0,0.41,0.89,0.35,-0.29,0.61,32.06
-0.0,0.42,0.88,0.37,-1.33,-0.03,32.01
-0.01,0.42,0.89,0.53,-1.4,0.15,32.06
-0.03,0.42,0.88,-0.58,-0.11,1.48,32.06
-0.02,0.41,0.9,-0.63,1.45,2.99,32.01
-0.0,0.39,0.89,-0.24,2.21,3.19,32.06
-0.0,0.38,0.89,-0.53,2.15,1.95,32.06
-0.0,0.38,0.91,-1.21,0.41,1.04,32.11
-0.0,0.41,0.9,-0.09,-0.03,0.98,32.06
0.0,0.42,0.89,0.67,0.41,0.84,31.92
0.0,0.44,0.89,0.81,0.69,1.04,32.11
-0.0,0.43,0.89,0.12,0.67,0.63,31.97
-0.02,0.42,0.89,-0.79,0.52,0.31,32.01
-0.01,0.4,0.89,-0.69,0.87,0.5,32.11
-0.01,0.39,0.89,-0.21,1.19,0.64,32.06
0.0,0.4,0.89,0.46,0.63,0.6,32.01
-0.01,0.4,0.89,0.12,-0.11,0.08,32.06
-0.01,0.41,0.9,0.0,-0.64,-0.14,32.06
-0.01,0.41,0.89,0.32,0.2,0.34,32.01
-0.01,0.4,0.89,0.4,1.34,0.99,31.97
-0.01,0.41,0.89,0.26,1.56,1.5,32.06
-0.01,0.4,0.89,-0.06,1.11,1.66,32.11
-0.01,0.4,0.89,0.05,1.08,1.69,32.11
-0.01,0.41,0.89,0.41,1.22,1.89,32.06
0.0,0.41,0.9,0.41,1.25,1.62,32.11
0.01,0.41,0.9,1.15,1.6,1.11,31.97
-0.0,0.41,0.9,0.49,1.42,0.05,32.01
-0.01,0.4,0.89,0.17,1.02,-0.29,32.01
-0.02,0.41,0.89,0.7,1.3,0.31,32.06
-0.02,0.41,0.89,-0.12,0.44,0.52,32.01
-0.01,0.41,0.89,-0.08,0.75,0.81,32.11
-0.01,0.41,0.88,-0.52,1.34,0.58,32.06
-0.01,0.4,0.88,-0.85,0.92,0.08,32.11
-0.01,0.4,0.89,-0.58,0.69,-0.05,32.11
-0.02,0.41,0.89,-0.03,1.07,-0.44,31.97
-0.02,0.41,0.9,0.05,1.24,-0.15,32.11
-0.02,0.41,0.88,0.08,1.18,0.76,31.97
-0.01,0.41,0.89,0.21,1.02,1.28,32.01
-0.01,0.4,0.89,0.15,0.64,1.25,32.11
-0.01,0.4,0.89,0.56,0.61,1.05,32.15
-0.0,0.4,0.9,1.1,1.24,1.4,32.11
-0.01,0.4,0.88,1.24,1.42,1.8,32.11
-0.01,0.4,0.89,1.33,1.65,2.12,32.06
-0.01,0.4,0.89,1.44,1.62,2.23,32.11
-0.02,0.41,0.9,1.21,1.54,1.6,32.11
-0.02,0.4,0.89,1.16,1.63,1.79,32.06
-0.02,0.41,0.89,0.95,1.68,2.11,32.11
-0.0,0.41,0.89,0.81,1.86,2.11,32.06
-0.01,0.41,0.89,0.9,1.34,1.56,31.97
-0.0,0.41,0.89,0.85,1.21,1.19,32.11
-0.0,0.41,0.89,1.16,0.79,1.36,32.06
0.0,0.4,0.89,1.22,0.61,1.15,31.92
-0.01,0.41,0.89,1.42,0.73,0.89,32.01
-0.02,0.41,0.89,1.25,0.76,1.01,32.06
-0.01,0.41,0.88,1.16,0.9,1.05,32.01
-0.01,0.41,0.89,1.6,0.95,1.31,32.01
-0.01,0.4,0.89,1.44,1.11,1.37,32.15
-0.02,0.4,0.89,1.45,1.4,1.31,32.01
-0.02,0.4,0.9,1.1,1.36,1.6,32.15
-0.01,0.41,0.89,1.15,1.16,1.8,32.06
-0.01,0.4,0.89,1.11,1.08,2.61,32.01
-0.01,0.41,0.9,1.44,1.62,2.79,31.97
-0.01,0.41,0.89,1.34,1.89,2.58,32.01
-0.0,0.4,0.89,1.33,1.77,2.35,31.92
-0.01,0.41,0.89,1.34,1.8,2.4,32.06
-0.01,0.41,0.88,1.44,1.3,2.44,32.11
-0.01,0.41,0.89,1.15,0.9,2.47,32.01
-0.0,0.41,0.88,1.33,0.55,2.18,32.06
-0.01,0.42,0.89,1.4,1.44,2.21,32.01
-0.01,0.41,0.89,1.5,1.6,2.11,32.06
-0.01,0.42,0.88,1.25,1.25,1.79,32.15
-0.01,0.41,0.89,1.34,1.05,1.66,32.01
-0.02,0.41,0.88,1.16,1.25,1.16,32.06
-0.01,0.41,0.89,1.16,1.44,1.33,32.06
-0.01,0.4,0.9,1.11,1.47,1.62,32.11
-0.01,0.42,0.89,0.98,1.39,1.82,31.97
-0.01,0.42,0.89,1.08,1.05,1.89,32.01
-0.01,0.42,0.89,1.11,0.93,1.86,32.01
-0.01,0.42,0.89,1.34,1.27,1.53,32.06
-0.01,0.41,0.89,1.08,3.18,1.5,32.01
-0.02,0.41,0.89,1.39,-0.15,0.87,32.01
-0.02,0.41,0.89,0.61,0.84,1.4,32.06
-0.01,0.41,0.9,1.01,1.69,1.65,32.11
-0.01,0.41,0.89,0.58,1.59,2.0,32.06
-0.01,0.41,0.88,0.52,0.93,1.8,32.06
-0.0,0.42,0.89,0.61,0.95,1.56,32.01
-0.01,0.41,0.89,0.93,2.06,1.68,32.06
-0.01,0.42,0.9,0.92,1.97,1.57,32.06
-0.01,0.42,0.89,1.16,1.45,1.4,32.11
-0.01,0.41,0.88,1.51,1.65,1.31,32.06
-0.02,0.42,0.88,1.88,2.02,1.47,32.11
-0.02,0.41,0.89,1.18,1.89,1.65,32.11
-0.01,0.4,0.89,0.21,1.05,1.66,32.06
-0.01,0.4,0.89,0.99,1.25,1.31,32.01
-0.01,0.42,0.88,0.96,0.69,0.84,32.01
-0.02,0.42,0.88,0.81,-0.21,0.96,32.06
-0.02,0.43,0.89,1.57,0.49,1.47,32.01
-0.04,0.43,0.88,-0.64,2.96,2.73,32.06
-0.02,0.42,0.88,-0.05,-1.56,3.48,32.06
-0.01,0.41,0.89,-0.11,1.88,4.18,32.11
0.0,0.4,0.88,0.78,4.11,3.42,32.11
0.0,0.4,0.89,0.02,2.27,2.53,32.06
0.0,0.42,0.89,0.53,-0.46,1.98,32.11
-0.01,0.43,0.89,2.27,0.03,1.53,32.06
-0.01,0.43,0.89,2.23,1.62,1.34,32.11
-0.01,0.42,0.88,0.64,1.85,1.98,32.01
-0.01,0.42,0.89,-0.56,1.19,2.44,32.06
-0.02,0.4,0.89,-0.03,0.63,1.88,32.11
-0.0,0.41,0.89,1.07,0.53,1.3,32.11
-0.01,0.4,0.89,1.37,1.1,0.69,31.97
-0.01,0.41,0.88,0.56,1.13,0.5,32.11
-0.01,0.41,0.89,-0.06,1.07,0.82,32.01
-0.01,0.41,0.89,0.26,1.3,1.13,32.06
-0.01,0.42,0.89,0.81,1.79,1.4,32.01
-0.01,0.42,0.88,0.61,1.56,1.27,32.06
-0.01,0.42,0.89,0.6,1.3,1.07,32.15
-0.01,0.42,0.89,0.56,1.44,1.15,32.01
-0.01,0.42,0.89,0.4,1.68,1.51,32.06
-0.0,0.41,0.89,0.32,1.59,1.59,32.11
0.0,0.41,0.89,0.72,1.4,1.73,32.01
-0.01,0.42,0.89,0.44,0.76,0.49,32.06
-0.01,0.41,0.89,1.57,0.99,0.06,32.01
-0.02,0.43,0.89,1.05,1.01,0.27,32.01
