acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.46,0.87,0.37,1.48,0.67,32.53
0.0,0.45,0.87,-0.05,2.29,0.37,32.44
0.01,0.45,0.87,-0.24,1.47,-0.15,32.48
0.01,0.45,0.88,-0.49,0.09,-0.41,32.53
0.01,0.46,0.87,-0.89,-1.15,-0.43,32.53
0.01,0.47,0.87,-1.24,-1.42,-0.61,32.39
0.01,0.46,0.86,-1.05,-0.58,-0.24,32.34
0.01,0.46,0.87,-0.61,0.4,0.31,32.39
0.01,0.45,0.88,-0.06,1.22,0.53,32.48
0.01,0.44,0.86,0.5,1.22,0.46,32.53
0.01,0.44,0.87,0.55,0.85,0.52,32.48
0.01,0.45,0.87,0.03,0.58,0.84,32.53
0.01,0.45,0.86,-0.66,0.31,0.73,32.53
0.01,0.45,0.87,-0.76,0.06,0.81,32.39
0.01,0.45,0.87,-0.87,-0.09,0.64,32.44
0.0,0.46,0.87,-0.38,0.11,0.47,32.48
0.01,0.46,0.87,0.11,0.66,0.44,32.48
0.01,0.45,0.87,-0.08,0.56,0.6,32.44
0.01,0.46,0.87,-0.06,0.32,0.78,32.48
0.01,0.46,0.87,0.0,0.35,0.82,32.48
0.01,0.45,0.87,-0.09,0.09,0.69,32.44
0.02,0.46,0.87,0.29,-0.17,0.32,32.39
0.01,0.45,0.87,0.31,-0.31,0.31,32.44
0.0,0.45,0.87,0.72,-0.12,0.06,32.62
0.01,0.45,0.87,0.72,-0.06,0.29,32.48
0.01,0.46,0.87,0.75,0.35,0.84,32.44
0.01,0.45,0.86,0.53,0.29,1.22,32.58
0.01,0.46,0.88,0.5,0.41,1.1,32.48
0.01,0.46,0.88,0.41,0.23,1.28,32.53
0.01,0.45,0.87,0.66,0.63,1.44,32.48
0.01,0.45,0.87,0.69,0.93,1.83,32.48
0.01,0.45,0.87,0.49,1.13,1.83,32.53
0.01,0.45,0.87,0.49,1.21,1.79,32.48
0.01,0.46,0.86,0.26,0.76,1.76,32.53
0.02,0.45,0.87,0.31,0.56,1.65,32.44
0.02,0.45,0.86,0.34,0.43,1.54,32.48
0.01,0.46,0.87,0.23,0.63,1.18,32.44
0.01,0.46,0.86,0.11,0.95,1.19,32.48
0.02,0.46,0.88,0.11,0.9,1.16,32.39
0.02,0.46,0.87,0.29,0.99,0.96,32.44
0.02,0.46,0.86,0.31,0.78,0.32,32.48
0.01,0.45,0.87,0.21,0.29,0.11,32.39
0.01,0.46,0.86,-0.05,0.29,0.29,32.53
0.01,0.45,0.87,0.0,0.6,0.55,32.48
0.01,0.45,0.88,-0.11,0.63,0.67,32.53
0.01,0.45,0.88,-0.17,0.9,0.76,32.44
0.01,0.45,0.87,-0.2,0.56,0.56,32.58
0.02,0.46,0.86,-0.14,0.29,0.92,32.44
0.02,0.46,0.87,-0.03,0.34,1.25,32.48
0.01,0.46,0.87,0.17,0.6,1.05,32.39
0.02,0.46,0.87,0.63,1.37,0.98,32.44
0.01,0.46,0.87,0.89,1.42,0.98,32.39
0.01,0.45,0.87,0.93,2.09,1.51,32.58
0.02,0.45,0.87,1.34,1.86,1.56,32.53
0.02,0.46,0.88,0.73,0.7,0.73,32.58
0.01,0.46,0.87,-0.23,-0.66,0.69,32.53
0.01,0.47,0.86,0.32,-0.56,0.66,32.53
-0.0,0.47,0.87,0.05,-0.2,1.68,32.48
0.0,0.46,0.86,-0.4,1.02,2.96,32.53
0.02,0.45,0.87,-0.14,2.81,3.4,32.39
0.03,0.44,0.87,-0.27,3.33,2.18,32.48
0.03,0.44,0.87,-0.23,2.08,0.53,32.44
0.01,0.45,0.87,-0.58,0.05,-0.26,32.48
0.02,0.47,0.88,-1.5,-1.65,-0.56,32.58
0.02,0.47,0.86,-2.85,-1.83,-0.82,32.44
0.01,0.47,0.87,-3.54,-0.15,-0.87,32.39
0.01,0.46,0.86,-3.07,1.11,-0.78,32.44
0.02,0.45,0.87,-2.06,1.6,-1.24,32.44
0.02,0.44,0.88,-0.84,2.15,-1.89,32.48
0.03,0.44,0.87,-0.92,1.71,-2.21,32.44
0.01,0.45,0.86,-1.56,0.95,-2.03,32.48
0.0,0.45,0.86,-2.66,0.06,-1.42,32.58
0.01,0.45,0.88,-3.28,-0.08,-0.78,32.44
-0.0,0.45,0.88,-2.87,0.5,-0.53,32.48
0.01,0.45,0.88,-1.83,1.16,0.21,32.48
0.0,0.45,0.88,-0.61,2.61,0.85,32.44
0.01,0.45,0.88,-0.47,3.31,1.07,32.39
0.01,0.45,0.87,-0.58,3.24,1.04,32.53
0.02,0.45,0.86,-0.84,2.47,1.04,32.44
0.02,0.45,0.88,-1.63,1.21,0.21,32.48
0.02,0.45,0.87,-1.85,0.49,-0.61,32.53
0.0,0.46,0.87,-0.9,0.78,-0.38,32.48
0.0,0.46,0.87,-0.63,0.85,-0.2,32.39
0.0,0.45,0.87,-0.11,2.11,0.09,32.53
0.0,0.44,0.87,-0.44,3.56,-0.12,32.48
-0.0,0.43,0.87,-0.5,3.6,-0.49,32.39
0.01,0.44,0.88,-0.75,2.12,-0.38,32.53
0.0,0.44,0.87,-0.99,0.34,-0.37,32.48
0.01,0.46,0.87,-0.76,-0.08,-0.2,32.44
0.01,0.46,0.88,-1.02,1.31,0.35,32.44
0.0,0.44,0.87,-0.78,2.6,0.78,32.48
0.0,0.44,0.88,-0.44,2.56,0.38,32.53
0.01,0.44,0.88,-0.58,2.46,0.05,32.48
0.0,0.44,0.87,-0.73,2.03,-0.38,32.48
0.0,0.44,0.88,-0.87,1.53,0.03,32.44
0.01,0.43,0.88,-1.31,1.45,0.17,32.48
0.0,0.44,0.88,-1.66,1.5,0.14,32.48
0.0,0.44,0.88,-1.66,1.42,-0.09,32.44
0.0,0.44,0.88,-0.95,1.36,-0.27,32.39
0.0,0.45,0.87,-0.35,1.54,-0.38,32.44
0.0,0.44,0.88,-0.2,1.94,-0.14,32.53
-0.0,0.44,0.87,-0.24,1.83,0.03,32.48
-0.01,0.44,0.87,-0.27,1.71,-0.15,32.44
-0.0,0.44,0.88,0.17,1.47,-0.11,32.48
-0.0,0.43,0.88,0.84,1.88,-0.35,32.48
-0.01,0.44,0.88,1.04,1.94,-0.79,32.53
-0.0,0.44,0.89,0.89,1.89,-0.66,32.48
-0.01,0.43,0.87,0.85,1.69,0.05,32.39
-0.0,0.43,0.88,0.61,0.95,0.93,32.44
0.01,0.44,0.88,0.85,0.46,1.68,32.39
0.01,0.43,0.87,1.25,0.96,1.71,32.44
0.0,0.44,0.87,2.02,2.2,2.55,32.53
0.0,0.44,0.87,2.32,2.82,3.33,32.58
0.01,0.44,0.88,2.21,2.87,4.02,32.53
0.0,0.44,0.88,2.26,2.21,4.34,32.39
-0.0,0.44,0.87,2.58,1.6,4.46,32.39
0.0,0.45,0.88,2.85,1.56,4.61,32.44
0.0,0.45,0.88,3.13,2.24,4.89,32.48
0.0,0.45,0.87,3.15,2.64,4.9,32.39
0.0,0.46,0.87,3.27,2.75,4.38,32.44
0.0,0.46,0.88,3.51,2.43,3.69,32.48
-0.0,0.46,0.87,3.71,2.03,3.36,32.44
0.0,0.45,0.86,3.45,2.05,3.08,32.53
0.0,0.46,0.87,2.98,2.17,2.81,32.48
0.0,0.46,0.87,2.67,1.95,2.31,32.44
0.01,0.46,0.86,2.41,1.44,1.59,32.58
0.01,0.46,0.87,2.37,0.53,0.87,32.58
0.0,0.45,0.87,2.31,0.76,0.89,32.44
-0.0,0.45,0.87,2.11,1.63,1.4,32.48
0.0,0.45,0.87,1.59,1.76,1.79,32.48
0.0,0.44,0.87,1.22,1.39,2.06,32.44
0.01,0.45,0.87,1.51,1.34,2.27,32.39
0.01,0.45,0.87,1.27,1.74,2.66,32.53
0.0,0.45,0.88,1.68,2.63,2.92,32.44
0.0,0.46,0.87,1.8,3.19,2.6,32.39
0.0,0.46,0.87,1.66,2.64,2.4,32.53
-0.0,0.46,0.86,1.01,2.14,2.66,32.39
0.0,0.45,0.87,1.11,2.44,2.87,32.48
0.0,0.46,0.87,0.93,0.56,2.24,32.53
0.0,0.46,0.86,0.26,0.08,1.62,32.48
-0.0,0.47,0.87,1.56,0.93,1.48,32.48
-0.01,0.47,0.87,0.99,1.36,1.88,32.44
-0.01,0.46,0.87,0.21,2.17,3.01,32.39
0.01,0.45,0.87,0.46,2.34,3.68,32.53
0.02,0.44,0.87,0.32,2.44,2.63,32.53
0.01,0.44,0.87,0.09,1.44,1.08,32.48
0.01,0.45,0.88,0.29,0.24,0.93,32.53
0.01,0.46,0.87,0.7,-0.69,0.87,32.48
0.01,0.47,0.87,0.43,0.92,0.69,32.39
0.0,0.47,0.87,0.4,1.8,0.63,32.44
0.0,0.46,0.87,-0.14,1.92,1.07,32.48
0.01,0.45,0.87,-0.67,1.31,0.73,32.58
0.0,0.45,0.87,-0.63,1.25,0.15,32.44
0.0,0.44,0.87,-0.37,1.27,-0.37,32.48
0.0,0.45,0.86,-0.47,0.9,-0.49,32.53
-0.01,0.45,0.86,-0.47,0.5,-0.31,32.53
0.0,0.45,0.87,-0.52,0.85,0.26,32.58
-0.01,0.45,0.88,-0.31,1.68,0.7,32.44
-0.01,0.45,0.88,-0.2,1.94,0.75,32.53
-0.01,0.46,0.88,-0.06,1.85,1.08,32.48
-0.0,0.45,0.87,0.18,1.59,1.45,32.44
0.0,0.46,0.88,0.18,1.5,1.22,32.48
0.01,0.46,0.87,0.61,1.69,1.21,32.48
0.01,0.44,0.88,0.09,0.9,0.6,32.53
-0.0,0.45,0.87,1.02,1.28,-0.11,32.48
-0.02,0.46,0.87,0.61,0.49,-0.12,32.44
-0.02,0.46,0.86,0.78,0.78,0.89,32.44
-0.0,0.46,0.87,0.87,1.82,1.45,32.48
-0.0,0.44,0.86,-0.12,2.41,0.89,32.53
-0.0,0.43,0.87,-0.79,0.82,0.32,32.53
-0.0,0.44,0.86,-0.76,-0.15,0.34,32.48
0.0,0.45,0.87,0.38,-0.05,0.73,32.53
0.0,0.46,0.87,0.64,0.66,1.11,32.48
