acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.03,0.51,0.84,-0.43,0.27,0.49,32.58
0.02,0.5,0.84,-0.27,0.27,0.7,32.53
0.03,0.51,0.85,-0.18,0.14,0.84,32.44
0.03,0.5,0.84,0.06,0.08,0.56,32.48
0.02,0.5,0.84,0.46,0.2,0.66,32.53
0.02,0.5,0.85,0.58,0.23,0.78,32.48
0.02,0.5,0.85,0.82,0.2,0.87,32.48
0.02,0.5,0.84,0.79,0.32,1.11,32.53
0.02,0.5,0.84,0.9,0.5,1.27,32.39
0.02,0.5,0.85,1.04,0.81,1.45,32.48
0.02,0.51,0.86,1.1,0.82,1.74,32.53
0.02,0.51,0.84,1.19,0.92,1.76,32.48
0.02,0.51,0.84,1.3,1.33,2.12,32.53
0.03,0.5,0.85,1.36,1.44,2.05,32.39
0.02,0.51,0.84,1.18,1.31,1.94,32.48
0.02,0.51,0.86,1.1,1.42,1.88,32.53
0.03,0.51,0.84,1.16,1.45,2.21,32.58
0.03,0.51,0.84,0.95,1.77,2.09,32.48
0.02,0.51,0.83,0.87,1.51,1.62,32.53
0.02,0.51,0.84,1.08,1.3,1.42,32.48
0.02,0.51,0.84,1.18,1.16,1.4,32.39
0.02,0.51,0.84,0.98,1.08,1.47,32.44
0.02,0.51,0.83,0.72,0.98,1.25,32.48
0.03,0.51,0.84,0.73,0.78,1.04,32.53
0.02,0.5,0.84,0.73,1.27,1.11,32.48
0.03,0.5,0.84,0.72,0.82,1.08,32.48
0.02,0.51,0.84,0.5,0.9,1.02,32.53
0.02,0.5,0.85,0.38,1.21,1.24,32.48
0.02,0.51,0.85,0.38,1.68,1.45,32.44
0.02,0.51,0.84,0.35,1.31,1.19,32.53
0.02,0.51,0.84,0.55,1.19,0.89,32.48
0.02,0.51,0.83,0.35,1.13,1.37,32.48
0.02,0.51,0.84,0.53,1.5,1.6,32.58
0.03,0.5,0.84,0.73,1.54,1.76,32.58
0.02,0.5,0.84,0.58,1.69,1.6,32.62
0.03,0.51,0.85,0.56,1.76,1.73,32.48
0.02,0.51,0.84,0.32,1.33,1.34,32.48
0.03,0.5,0.84,0.67,1.28,1.45,32.53
0.02,0.51,0.85,0.75,1.69,1.68,32.48
0.02,0.51,0.84,0.41,1.95,1.66,32.44
0.02,0.51,0.84,0.11,1.66,1.15,32.53
0.02,0.51,0.83,0.26,1.37,0.73,32.58
0.02,0.51,0.84,0.35,1.5,1.18,32.58
0.02,0.51,0.85,0.08,1.63,1.25,32.58
0.02,0.51,0.85,-0.09,1.44,0.78,32.58
0.01,0.5,0.84,0.05,1.07,0.43,32.53
0.02,0.5,0.85,0.21,1.3,0.73,32.48
0.02,0.51,0.84,0.21,1.94,1.01,32.53
0.01,0.5,0.84,-0.15,1.92,1.42,32.44
0.02,0.51,0.84,-0.46,1.85,0.99,32.48
0.02,0.51,0.85,0.14,1.5,0.53,32.53
0.02,0.5,0.85,0.76,1.74,0.78,32.53
0.02,0.51,0.84,0.49,2.79,0.41,32.48
0.0,0.51,0.84,-0.79,3.31,0.05,32.44
0.0,0.5,0.85,-1.69,3.6,-0.23,32.39
0.01,0.5,0.85,-0.78,3.74,-0.03,32.48
0.01,0.5,0.85,-1.01,3.08,0.05,32.53
0.02,0.51,0.84,-0.9,2.35,-0.09,32.39
0.0,0.51,0.83,0.12,1.66,-0.31,32.53
-0.0,0.52,0.84,-0.52,2.79,0.9,32.44
0.01,0.51,0.84,-0.49,3.27,2.02,32.48
0.02,0.49,0.84,-0.56,3.36,1.28,32.44
0.02,0.48,0.85,-1.21,3.27,0.67,32.53
0.02,0.49,0.85,-1.39,2.0,0.6,32.58
0.02,0.49,0.85,-0.29,0.29,1.18,32.44
0.03,0.51,0.85,1.22,0.47,1.34,32.58
0.03,0.53,0.85,1.8,1.73,1.57,32.48
0.03,0.52,0.84,0.84,1.66,1.28,32.53
0.02,0.52,0.83,0.03,1.33,0.82,32.48
0.02,0.51,0.84,0.27,1.28,0.44,32.53
0.01,0.49,0.85,0.79,1.21,0.55,32.62
0.01,0.5,0.85,0.67,0.72,0.7,32.58
-0.0,0.5,0.84,0.23,0.29,0.82,32.44
0.0,0.5,0.84,0.09,0.64,0.63,32.53
0.02,0.51,0.84,0.41,1.65,1.36,32.48
0.02,0.51,0.85,0.81,1.79,1.34,32.44
0.0,0.51,0.85,1.24,1.51,1.25,32.48
0.01,0.51,0.85,1.28,1.92,1.6,32.58
0.01,0.5,0.84,0.75,2.06,1.83,32.53
0.01,0.51,0.84,0.99,2.26,2.14,32.48
0.02,0.5,0.84,1.15,2.29,1.86,32.48
0.02,0.5,0.85,1.36,2.14,1.74,32.53
0.02,0.5,0.85,0.46,1.63,0.49,32.48
0.01,0.5,0.84,0.37,1.97,-0.03,32.53
0.0,0.52,0.84,0.9,1.97,0.66,32.44
-0.0,0.51,0.83,-0.34,1.48,0.75,32.48
0.01,0.51,0.85,-0.12,1.73,0.47,32.53
0.0,0.5,0.84,-0.34,2.66,0.6,32.58
0.01,0.5,0.85,-1.47,2.09,0.61,32.58
0.01,0.49,0.85,-1.57,0.92,-0.23,32.53
0.01,0.5,0.85,-0.17,1.05,-0.95,32.48
0.01,0.52,0.85,0.79,1.77,-0.32,32.44
0.02,0.52,0.84,0.38,2.55,0.64,32.53
0.02,0.51,0.84,-0.58,2.31,0.75,32.48
0.01,0.51,0.83,-0.21,1.8,0.69,32.44
0.01,0.5,0.84,0.81,1.74,1.21,32.53
0.01,0.51,0.83,1.05,2.05,1.24,32.58
0.01,0.5,0.84,0.6,2.35,1.36,32.53
0.0,0.5,0.84,0.37,2.18,1.15,32.58
0.01,0.5,0.84,0.46,1.77,1.1,32.39
0.01,0.51,0.85,0.64,1.74,0.84,32.44
0.01,0.5,0.84,0.58,1.79,1.18,32.48
0.0,0.51,0.83,0.56,1.88,0.84,32.39
0.0,0.52,0.83,0.69,1.89,1.01,32.44
0.01,0.51,0.84,0.93,2.14,1.66,32.48
0.01,0.51,0.84,0.93,1.95,1.27,32.53
0.01,0.51,0.85,1.27,1.89,0.98,32.53
0.01,0.51,0.84,1.3,1.42,0.9,32.48
0.0,0.5,0.85,1.36,1.22,1.02,32.48
0.01,0.51,0.84,1.44,1.54,1.28,32.53
0.0,0.51,0.85,1.4,1.56,1.56,32.48
0.01,0.51,0.84,1.05,1.51,1.44,32.53
0.0,0.5,0.85,0.87,1.45,1.48,32.48
-0.0,0.51,0.84,0.98,1.73,1.44,32.48
0.01,0.5,0.83,1.3,1.97,1.79,32.44
0.01,0.5,0.85,0.82,2.38,1.97,32.48
0.01,0.5,0.84,0.56,2.27,1.68,32.58
0.01,0.51,0.84,0.52,2.14,1.3,32.53
0.0,0.51,0.84,0.44,1.47,0.84,32.58
0.0,0.51,0.84,0.29,1.88,0.75,32.48
