acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.01,0.47,0.86,0.46,-0.78,0.89,32.2
-0.03,0.46,0.87,-0.52,0.46,2.27,32.29
-0.01,0.45,0.86,-0.05,1.76,4.03,32.2
0.01,0.44,0.87,-0.03,2.84,4.29,32.25
0.02,0.43,0.88,0.23,2.73,2.78,32.29
0.01,0.44,0.88,0.23,1.36,1.65,32.2
0.01,0.45,0.88,0.63,-0.38,1.16,32.25
0.01,0.47,0.87,0.6,-0.75,1.1,32.2
0.01,0.47,0.87,0.34,0.27,1.27,32.39
0.0,0.47,0.87,-0.05,1.22,1.27,32.25
0.0,0.46,0.87,-0.66,1.19,0.96,32.29
0.0,0.44,0.87,-0.64,0.69,0.56,32.2
0.01,0.44,0.87,0.02,0.32,-0.27,32.25
0.0,0.44,0.86,0.38,-0.08,-0.47,32.2
0.0,0.45,0.87,0.31,-0.38,-0.15,32.25
-0.01,0.45,0.87,0.05,-0.06,0.23,32.15
-0.0,0.45,0.86,-0.23,0.53,0.7,32.29
0.0,0.46,0.88,-0.09,0.61,1.19,32.15
0.0,0.46,0.88,0.31,0.66,1.21,32.29
0.01,0.45,0.87,0.47,0.64,1.36,32.29
0.01,0.45,0.87,0.4,0.87,2.03,32.15
0.01,0.45,0.87,0.32,0.96,2.02,32.2
0.01,0.45,0.87,0.84,1.4,1.69,32.29
0.01,0.45,0.87,0.18,0.4,0.46,32.25
0.0,0.46,0.86,0.87,0.53,0.46,32.29
-0.0,0.46,0.87,0.79,0.5,0.67,32.34
-0.01,0.46,0.87,0.27,0.41,0.92,32.25
0.0,0.45,0.86,0.15,1.68,0.95,32.39
-0.0,0.44,0.86,-0.7,1.31,0.38,32.15
-0.0,0.44,0.87,-1.79,0.14,-0.09,32.25
0.01,0.44,0.87,-1.21,-0.15,-0.5,32.2
0.0,0.45,0.87,0.08,-0.21,-0.53,32.25
0.0,0.46,0.87,0.08,0.78,-0.21,32.25
0.0,0.46,0.86,-0.43,0.96,0.05,32.29
0.0,0.45,0.86,-0.72,0.82,0.4,32.34
0.01,0.44,0.86,-0.37,0.75,0.76,32.29
0.01,0.44,0.87,0.21,1.19,0.92,32.29
0.0,0.44,0.87,0.43,0.85,0.76,32.15
0.01,0.44,0.87,0.21,1.02,1.21,32.29
0.0,0.44,0.87,0.29,1.21,1.48,32.2
0.0,0.44,0.86,0.46,1.45,1.56,32.25
0.01,0.45,0.87,0.6,1.3,1.21,32.11
-0.01,0.46,0.86,0.64,1.18,1.3,32.25
0.0,0.46,0.87,0.23,1.04,1.5,32.25
0.0,0.45,0.87,0.12,1.13,1.73,32.29
0.01,0.45,0.87,0.05,1.02,1.73,32.2
0.0,0.45,0.87,0.29,1.36,1.18,32.15
0.01,0.45,0.86,0.72,1.05,0.81,32.2
0.01,0.44,0.87,0.53,0.7,0.37,32.25
-0.0,0.45,0.88,0.5,0.6,0.14,32.2
0.01,0.45,0.86,0.63,0.44,0.43,32.2
0.0,0.45,0.88,0.53,0.84,0.67,32.34
-0.0,0.45,0.87,0.73,1.04,0.84,32.2
0.01,0.45,0.87,0.55,0.89,0.93,32.25
0.01,0.45,0.87,0.53,1.05,1.3,32.15
0.0,0.44,0.87,0.82,1.05,1.39,32.2
-0.0,0.46,0.87,0.72,1.36,1.63,32.29
0.0,0.44,0.87,0.87,1.65,1.57,32.25
-0.0,0.45,0.87,0.69,1.63,1.79,32.2
-0.0,0.45,0.87,0.78,1.8,2.03,32.25
0.0,0.45,0.87,0.95,1.71,1.95,32.2
0.0,0.46,0.87,0.73,1.69,1.79,32.29
0.0,0.45,0.86,0.76,1.51,1.45,32.34
0.01,0.46,0.87,0.89,1.59,1.44,32.2
0.01,0.45,0.88,0.63,1.68,1.1,32.39
0.0,0.46,0.86,0.55,1.59,0.85,32.25
0.01,0.45,0.87,0.41,1.34,0.92,32.29
0.01,0.45,0.88,0.26,0.96,0.63,32.29
0.0,0.45,0.87,0.4,0.87,0.5,32.25
0.0,0.45,0.86,0.53,1.25,0.63,32.29
-0.0,0.45,0.86,0.46,1.28,0.6,32.25
0.0,0.46,0.87,0.31,1.8,0.85,32.25
-0.0,0.45,0.87,-0.15,1.39,0.61,32.29
-0.0,0.45,0.87,-0.11,1.01,0.29,32.25
-0.0,0.44,0.88,0.47,1.08,0.43,32.29
0.0,0.45,0.87,0.98,1.83,0.79,32.2
0.01,0.45,0.87,1.28,2.27,0.76,32.15
0.0,0.45,0.87,0.31,1.68,1.21,32.29
0.0,0.44,0.87,0.27,1.5,1.13,32.2
0.01,0.45,0.87,1.19,1.69,1.22,32.25
-0.0,0.46,0.87,0.67,0.61,1.18,32.29
0.01,0.46,0.86,0.81,0.26,1.15,32.25
-0.01,0.46,0.87,1.13,0.5,1.39,32.25
-0.02,0.46,0.87,0.26,1.27,2.61,32.2
-0.01,0.45,0.87,-0.17,2.47,3.63,32.25
0.01,0.43,0.88,-0.11,3.11,3.71,32.25
0.01,0.43,0.87,-0.41,2.34,2.34,32.29
0.01,0.43,0.87,-0.15,1.18,1.73,32.25
0.01,0.45,0.87,1.24,0.15,1.56,32.11
0.01,0.47,0.87,1.8,0.47,1.08,32.2
0.01,0.47,0.87,1.5,1.63,1.04,32.25
0.0,0.47,0.86,0.37,1.97,1.44,32.39
-0.0,0.46,0.87,-0.23,1.47,1.45,32.25
0.01,0.45,0.88,0.34,1.56,0.84,32.15
0.01,0.44,0.87,1.4,1.1,0.0,32.2
0.01,0.45,0.87,1.42,0.34,-0.23,32.25
-0.0,0.45,0.87,1.28,-0.21,0.0,32.34
-0.0,0.45,0.86,0.98,0.12,0.79,32.2
-0.01,0.46,0.87,1.13,0.9,1.28,32.25
0.01,0.45,0.87,1.48,1.37,1.8,32.2
0.0,0.46,0.87,1.95,1.53,1.79,32.2
-0.0,0.45,0.86,2.0,1.73,2.08,32.34
-0.01,0.45,0.87,1.68,2.0,2.56,32.29
0.01,0.44,0.87,1.42,2.49,2.85,32.29
0.01,0.45,0.87,1.24,2.46,2.49,32.15
0.01,0.45,0.86,1.15,1.34,1.22,32.2
0.0,0.46,0.86,2.6,0.79,0.95,32.15
-0.01,0.46,0.86,2.23,0.61,0.78,32.34
-0.0,0.46,0.87,1.71,1.8,1.79,32.29
-0.0,0.45,0.87,0.26,2.79,1.34,32.15
-0.01,0.45,0.86,-1.01,1.89,0.63,32.25
-0.01,0.44,0.86,-0.79,0.96,0.43,32.2
0.0,0.44,0.87,0.24,0.6,0.34,32.2
0.01,0.46,0.87,0.61,0.76,0.11,32.2
-0.0,0.47,0.87,0.17,1.27,0.15,32.29
0.0,0.46,0.86,-0.38,1.3,0.14,32.25
-0.0,0.46,0.86,-0.03,1.33,0.38,32.29
0.0,0.45,0.87,0.46,1.89,0.6,32.2
-0.0,0.45,0.87,0.61,2.06,0.73,32.25
0.0,0.44,0.87,0.56,1.62,1.15,32.2
-0.0,0.45,0.87,0.43,1.85,1.13,32.25
-0.0,0.45,0.87,0.78,1.88,1.4,32.25
0.0,0.45,0.86,1.21,1.98,1.86,32.11
-0.0,0.45,0.84,2.75,3.57,2.76,32.2
0.0,0.46,0.83,4.72,6.96,5.69,32.25
0.01,0.46,0.87,3.04,8.0,6.15,32.29
0.0,0.45,0.9,1.13,4.43,3.01,32.34
-0.01,0.45,0.89,2.24,1.16,-0.11,32.2
-0.01,0.46,0.88,3.28,0.11,-0.81,32.2
-0.01,0.47,0.87,2.89,0.35,-0.43,32.25
-0.01,0.46,0.88,0.21,-0.03,-0.34,32.2
-0.01,0.45,0.88,-1.28,-0.85,-0.85,32.2
-0.01,0.45,0.86,0.2,-0.72,-0.61,32.25
-0.01,0.45,0.85,2.03,0.52,0.32,32.29
0.0,0.46,0.86,1.91,1.59,1.28,32.29
0.0,0.46,0.86,1.15,2.17,1.8,32.25
0.0,0.45,0.87,1.04,2.31,1.86,32.2
-0.0,0.45,0.88,2.09,2.14,1.24,32.25
-0.01,0.45,0.85,3.01,1.85,1.31,32.25
-0.01,0.45,0.86,2.73,1.85,1.98,32.29
-0.01,0.46,0.87,1.68,2.38,2.66,32.25
-0.01,0.46,0.87,1.83,2.87,2.66,32.2
-0.01,0.46,0.86,1.97,2.73,2.38,32.2
-0.01,0.46,0.87,2.18,2.32,2.43,32.25
-0.0,0.46,0.86,2.14,1.85,2.58,32.2
0.0,0.46,0.87,2.32,2.61,2.76,32.29
-0.01,0.47,0.86,2.52,2.84,2.26,32.15
-0.01,0.46,0.87,2.38,2.35,1.8,32.29
-0.01,0.47,0.88,2.11,1.83,1.68,32.15
-0.01,0.46,0.87,2.27,1.92,1.5,32.25
-0.0,0.47,0.86,2.55,2.06,1.19,32.2
