acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.03,0.47,0.85,1.77,0.87,2.47,32.48
0.03,0.47,0.86,1.39,0.31,1.76,32.58
0.03,0.48,0.85,2.08,0.32,1.89,32.44
0.02,0.48,0.85,2.08,0.84,2.31,32.48
0.01,0.49,0.85,0.15,1.39,2.76,32.53
0.01,0.48,0.85,-0.47,1.54,3.82,32.53
0.02,0.47,0.87,0.34,1.92,4.44,32.48
0.02,0.46,0.87,1.37,1.97,3.98,32.53
0.03,0.46,0.86,1.97,2.58,3.68,32.44
0.03,0.48,0.85,2.15,2.09,3.4,32.39
0.02,0.5,0.87,1.45,1.15,2.92,32.53
0.02,0.5,0.86,2.34,1.13,2.4,32.48
0.01,0.5,0.86,3.28,2.09,2.47,32.48
0.01,0.49,0.85,2.85,2.44,3.45,32.44
0.02,0.48,0.84,1.1,2.76,3.25,32.48
0.02,0.46,0.85,0.38,2.44,3.13,32.44
0.02,0.46,0.86,1.08,2.32,3.1,32.44
0.03,0.46,0.86,1.21,2.09,3.19,32.48
0.02,0.48,0.85,1.05,1.51,3.44,32.53
0.03,0.48,0.85,0.47,1.71,3.59,32.44
0.02,0.47,0.85,0.43,1.82,3.73,32.48
0.03,0.48,0.86,0.24,1.73,3.74,32.44
0.03,0.49,0.86,-0.02,1.33,3.39,32.48
0.03,0.48,0.85,-0.23,0.92,2.53,32.48
0.04,0.49,0.85,-0.53,0.49,1.34,32.53
0.04,0.48,0.85,-1.79,-0.44,-0.79,32.48
0.04,0.49,0.85,-2.93,-1.73,-3.15,32.53
0.04,0.5,0.86,-1.97,-2.66,-4.9,32.44
0.02,0.5,0.86,-1.92,-3.27,-5.5,32.48
0.02,0.5,0.85,-1.88,-2.87,-5.34,32.62
0.02,0.48,0.85,-3.53,-1.82,-5.1,32.48
0.02,0.46,0.87,-4.5,-1.98,-5.44,32.58
0.0,0.46,0.86,-4.49,-2.98,-5.69,32.53
0.01,0.46,0.87,-3.34,-3.76,-5.11,32.48
0.01,0.46,0.87,-1.82,-2.29,-3.59,32.58
0.02,0.45,0.86,-1.36,-0.44,-1.44,32.62
0.03,0.48,0.86,-2.64,0.32,-0.79,32.58
0.03,0.45,0.87,-2.5,0.87,-0.46,32.53
0.03,0.44,0.86,-0.5,1.65,0.61,32.58
0.02,0.46,0.86,-0.12,1.98,1.62,32.48
0.03,0.46,0.86,-0.89,2.75,2.12,32.44
0.02,0.47,0.87,-1.1,3.31,2.66,32.48
0.02,0.47,0.87,-0.41,3.53,2.81,32.48
0.02,0.49,0.87,0.35,2.72,2.43,32.53
0.02,0.49,0.87,0.27,2.29,1.71,32.48
0.01,0.49,0.86,-0.2,2.17,1.07,32.48
0.01,0.5,0.87,-0.11,2.4,0.14,32.53
-0.0,0.49,0.87,0.27,2.73,-0.66,32.48
-0.0,0.49,0.87,0.24,2.66,-1.37,32.44
0.01,0.48,0.87,-0.35,2.09,-1.98,32.39
0.01,0.48,0.86,-1.15,1.15,-2.43,32.48
0.02,0.47,0.87,-1.37,0.82,-3.08,32.44
0.03,0.48,0.86,-1.34,0.75,-3.94,32.58
0.03,0.47,0.85,-1.54,0.44,-4.6,32.53
0.03,0.46,0.86,-1.74,0.43,-4.67,32.53
0.02,0.46,0.85,-1.45,0.96,-3.97,32.48
0.02,0.47,0.85,-1.16,1.89,-3.15,32.48
0.02,0.47,0.86,-1.21,2.84,-2.12,32.48
0.02,0.47,0.87,-0.49,3.85,-1.94,32.48
0.01,0.47,0.87,0.81,5.16,-2.46,32.53
-0.0,0.47,0.87,1.31,6.23,-3.1,32.48
-0.02,0.48,0.86,0.26,5.62,-3.47,32.48
-0.02,0.48,0.87,-0.79,4.29,-3.39,32.53
-0.01,0.48,0.87,-1.3,2.75,-3.59,32.48
-0.02,0.49,0.86,-1.54,1.95,-4.38,32.53
-0.02,0.48,0.87,-1.98,1.95,-5.4,32.53
-0.01,0.48,0.86,-3.92,1.82,-5.42,32.48
0.0,0.47,0.86,-5.22,0.78,-5.79,32.44
0.0,0.46,0.86,-5.66,-0.35,-5.28,32.48
0.0,0.45,0.86,-6.78,-1.25,-5.13,32.48
0.01,0.44,0.85,-7.33,-1.36,-5.21,32.44
0.01,0.45,0.86,-6.96,-2.55,-5.57,32.48
0.01,0.44,0.85,-7.44,-2.35,-4.73,32.44
0.01,0.45,0.87,-8.6,-2.89,-4.06,32.53
0.0,0.45,0.86,-7.22,-2.75,-4.12,32.48
-0.0,0.46,0.86,-5.98,-3.82,-4.27,32.53
