acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.01,0.42,0.89,-0.09,0.2,0.9,31.92
-0.01,0.42,0.89,-0.11,0.24,0.53,31.92
-0.02,0.41,0.89,-0.08,0.21,0.23,32.06
-0.02,0.42,0.89,0.17,0.03,0.4,31.92
-0.02,0.41,0.89,0.0,0.11,0.4,32.01
-0.02,0.41,0.89,0.0,-0.03,0.32,31.97
-0.02,0.41,0.89,-0.17,-0.09,0.58,32.01
-0.02,0.41,0.88,-0.11,-0.06,0.96,31.92
-0.02,0.41,0.88,0.18,0.29,1.3,31.97
-0.01,0.41,0.88,0.27,0.18,1.04,32.01
-0.02,0.42,0.89,0.24,0.14,0.84,32.01
-0.01,0.42,0.89,0.15,0.05,0.95,31.97
-0.02,0.42,0.88,0.08,0.06,1.07,32.01
-0.01,0.42,0.88,0.32,0.31,1.21,31.92
-0.01,0.42,0.89,0.81,0.38,1.27,31.97
-0.02,0.42,0.88,1.45,0.89,0.84,32.11
-0.03,0.42,0.89,0.93,0.85,1.15,31.87
-0.02,0.42,0.88,-0.14,0.43,1.1,31.97
-0.02,0.41,0.9,0.27,0.12,1.19,31.92
-0.02,0.42,0.89,0.63,0.12,1.16,32.01
-0.01,0.43,0.87,0.43,-0.85,1.07,31.97
-0.02,0.42,0.88,0.9,-0.96,0.96,32.01
-0.03,0.43,0.88,0.18,-0.52,1.21,31.92
-0.03,0.42,0.89,-0.56,0.27,2.67,31.87
-0.01,0.4,0.89,-0.15,1.42,3.4,32.01
0.0,0.4,0.88,-0.31,2.78,2.72,32.01
-0.01,0.4,0.89,-0.2,1.4,1.51,31.97
-0.01,0.41,0.88,0.38,-0.12,1.25,31.92
-0.01,0.43,0.89,0.92,-0.82,0.63,32.01
-0.01,0.43,0.89,0.63,-0.08,0.6,31.97
-0.02,0.44,0.88,-0.08,0.61,1.15,31.92
-0.02,0.43,0.88,-0.89,0.44,1.56,32.01
-0.01,0.42,0.89,-0.73,0.73,1.44,31.97
