acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.44,0.88,0.89,0.69,1.27,32.2
0.01,0.43,0.88,0.4,0.89,1.31,32.15
0.01,0.44,0.88,0.35,0.87,1.3,32.11
0.01,0.43,0.87,0.44,0.75,1.37,32.2
0.01,0.44,0.88,0.66,0.69,1.16,32.25
0.01,0.45,0.87,0.67,0.49,1.05,32.29
0.0,0.43,0.88,1.22,0.9,0.67,32.2
0.01,0.44,0.87,0.87,1.21,0.64,32.25
0.01,0.44,0.88,0.08,0.79,0.95,32.2
0.01,0.43,0.89,0.0,0.43,1.07,32.2
0.01,0.44,0.88,0.81,0.46,0.76,32.15
0.01,0.44,0.87,0.56,-0.21,0.52,32.2
0.0,0.45,0.87,0.63,-0.9,0.2,32.25
-0.01,0.45,0.86,0.21,-0.52,0.75,32.25
-0.01,0.44,0.88,-0.63,0.67,2.63,32.29
0.0,0.43,0.87,-0.55,1.63,3.95,32.25
0.02,0.42,0.88,-0.12,2.31,3.19,32.2
0.02,0.42,0.87,-0.43,1.65,1.71,32.2
0.01,0.43,0.87,-0.18,0.78,1.16,32.25
0.02,0.44,0.88,0.58,-0.11,1.05,32.2
0.01,0.46,0.87,0.84,0.05,1.07,32.2
0.02,0.46,0.88,0.56,0.7,1.47,32.15
0.01,0.45,0.86,-0.31,0.66,1.89,32.29
0.01,0.43,0.88,-0.99,0.73,1.36,32.29
0.01,0.43,0.89,-0.21,0.67,0.44,32.25
0.02,0.42,0.88,0.67,0.24,0.2,32.2
0.01,0.42,0.88,0.87,0.08,0.14,32.15
0.01,0.44,0.88,0.63,-0.32,0.15,32.25
-0.0,0.44,0.88,0.23,-0.2,0.46,32.2
-0.0,0.44,0.87,0.12,0.61,0.98,32.25
-0.0,0.44,0.88,0.2,0.92,1.47,32.29
0.01,0.43,0.88,0.4,0.61,1.76,32.29
0.02,0.43,0.87,0.46,0.38,1.5,32.25
0.01,0.44,0.88,0.44,0.44,1.73,32.2
0.02,0.43,0.89,0.46,0.81,1.83,32.2
0.02,0.44,0.88,0.66,1.15,1.92,32.25
0.02,0.43,0.88,0.31,1.21,1.22,32.2
0.01,0.43,0.87,0.24,0.38,0.14,32.25
0.01,0.45,0.88,1.01,0.46,0.12,32.25
-0.0,0.45,0.88,0.0,-0.05,0.53,32.29
0.01,0.45,0.87,0.14,0.84,1.16,32.15
0.01,0.43,0.87,-0.32,1.97,0.76,32.25
0.0,0.42,0.87,-1.48,1.18,-0.14,32.29
0.01,0.43,0.88,-1.8,0.03,-0.26,32.29
0.01,0.44,0.89,-0.98,0.99,0.11,32.2
0.02,0.45,0.89,0.12,0.37,0.02,32.29
0.01,0.45,0.88,-0.21,-0.24,-0.43,32.25
0.0,0.44,0.87,-0.5,-0.24,-0.27,32.29
-0.0,0.43,0.87,-0.84,0.9,0.47,32.2
0.0,0.43,0.89,-0.46,1.6,1.07,32.25
0.01,0.42,0.87,0.0,1.22,0.95,32.2
0.01,0.43,0.88,0.05,0.61,0.93,32.29
0.01,0.43,0.87,0.43,0.46,0.98,32.25
0.01,0.43,0.88,0.27,1.13,1.13,32.29
0.01,0.44,0.88,0.27,1.25,1.08,32.29
0.0,0.43,0.88,0.35,1.21,1.02,32.15
-0.0,0.44,0.87,0.34,1.16,1.15,32.2
-0.0,0.43,0.88,0.26,0.99,1.36,32.25
0.01,0.44,0.88,0.14,1.22,1.44,32.29
0.01,0.44,0.88,0.27,0.84,1.19,32.29
0.01,0.44,0.88,0.34,0.32,0.79,32.25
0.01,0.44,0.88,0.64,0.34,0.66,32.2
0.01,0.44,0.87,0.98,0.43,0.66,32.29
0.01,0.44,0.88,1.05,0.61,0.61,32.34
0.01,0.44,0.88,0.93,0.73,0.64,32.2
0.01,0.43,0.87,0.92,0.61,0.99,32.29
0.01,0.43,0.87,0.85,0.84,1.34,32.15
0.01,0.43,0.88,0.85,1.08,1.53,32.29
0.01,0.43,0.88,0.81,0.79,1.62,32.25
0.01,0.43,0.88,0.95,1.11,1.97,32.34
0.01,0.43,0.88,0.87,1.45,1.94,32.29
0.01,0.44,0.88,0.79,1.6,2.17,32.15
0.01,0.43,0.87,0.58,1.48,2.0,32.25
0.01,0.44,0.87,0.58,1.62,2.08,32.2
0.01,0.44,0.88,0.56,1.5,2.05,32.25
0.01,0.44,0.88,0.52,1.42,1.36,32.15
0.01,0.44,0.88,0.38,1.36,1.18,32.29
0.01,0.44,0.87,0.35,1.1,0.87,32.2
0.01,0.44,0.88,0.37,1.11,0.9,32.29
0.01,0.44,0.87,0.5,1.16,0.69,32.29
0.01,0.44,0.87,0.29,1.08,0.32,32.15
0.01,0.44,0.88,0.15,0.72,0.27,32.39
0.0,0.43,0.88,0.44,1.08,0.37,32.2
0.01,0.44,0.87,0.5,1.24,0.56,32.25
0.01,0.43,0.88,0.61,1.16,0.95,32.29
0.0,0.44,0.87,0.67,1.24,0.92,32.29
0.0,0.44,0.89,0.64,1.28,0.89,32.25
0.0,0.44,0.88,0.96,1.36,1.18,32.29
0.01,0.43,0.89,1.22,1.77,1.44,32.2
0.01,0.43,0.87,0.99,2.18,1.82,32.34
0.0,0.43,0.87,1.02,1.77,1.76,32.2
0.01,0.44,0.87,0.87,1.21,1.91,32.25
0.01,0.44,0.87,1.11,1.25,1.86,32.25
0.01,0.44,0.88,1.27,1.48,1.65,32.2
0.01,0.44,0.87,1.21,1.69,1.63,32.15
0.02,0.44,0.87,1.33,1.95,1.83,32.25
0.01,0.44,0.88,0.92,1.6,1.68,32.29
0.01,0.44,0.88,0.76,1.47,1.48,32.15
-0.0,0.44,0.87,0.93,1.31,1.15,32.2
0.01,0.44,0.88,1.27,1.53,1.25,32.2
0.01,0.44,0.88,1.82,2.23,1.18,32.15
0.0,0.44,0.87,1.45,2.38,1.11,32.2
0.01,0.44,0.88,0.43,1.22,1.19,32.2
0.01,0.44,0.88,1.16,1.18,1.39,32.15
0.01,0.43,0.87,1.53,1.05,1.25,32.2
0.01,0.44,0.86,0.72,0.37,0.96,32.25
0.0,0.45,0.87,1.33,0.18,0.93,32.15
-0.02,0.44,0.87,0.47,0.78,1.74,32.2
-0.01,0.44,0.87,0.02,2.12,3.25,32.25
0.01,0.42,0.88,-0.14,3.24,4.17,32.15
0.02,0.42,0.88,-0.43,3.25,3.11,32.29
0.01,0.42,0.88,-0.49,1.88,1.74,32.29
0.01,0.44,0.88,0.72,0.37,1.48,32.2
0.02,0.45,0.88,2.12,0.29,1.62,32.2
0.02,0.46,0.88,2.49,1.24,1.76,32.25
0.01,0.46,0.88,1.59,1.66,2.29,32.29
0.01,0.45,0.87,0.08,1.4,1.98,32.29
0.0,0.44,0.88,0.21,1.28,1.63,32.15
0.01,0.43,0.89,1.04,1.4,0.81,32.29
0.0,0.43,0.88,1.62,1.16,0.12,32.2
0.0,0.43,0.87,1.01,0.9,0.41,32.25
0.0,0.44,0.88,0.67,0.96,0.98,32.29
0.0,0.44,0.87,0.76,1.5,1.27,32.29
0.0,0.45,0.88,0.73,1.83,1.62,32.25
0.01,0.44,0.89,1.02,1.74,1.98,32.11
0.0,0.44,0.88,1.24,1.51,1.79,32.25
0.01,0.44,0.88,1.5,1.53,1.66,32.25
0.0,0.44,0.88,1.74,1.63,1.79,32.2
0.01,0.44,0.87,1.3,1.98,2.12,32.25
0.01,0.44,0.88,1.4,2.24,1.83,32.29
0.01,0.44,0.87,1.01,1.79,1.22,32.11
0.0,0.44,0.87,1.74,2.32,0.95,32.25
-0.01,0.45,0.88,1.05,1.48,0.43,32.29
-0.01,0.45,0.88,0.66,0.95,0.55,32.11
0.0,0.45,0.87,0.64,1.94,1.01,32.25
0.01,0.43,0.86,-0.52,1.92,0.61,32.11
0.0,0.43,0.87,-1.11,1.21,0.66,32.25
0.01,0.43,0.88,-1.27,0.32,-0.14,32.34
0.0,0.44,0.88,0.14,0.72,-0.4,32.2
0.0,0.45,0.88,0.52,1.18,-0.41,32.15
0.01,0.45,0.87,-0.24,0.96,0.24,32.25
0.0,0.44,0.88,-0.87,0.69,0.64,32.2
0.0,0.44,0.87,0.03,1.33,1.13,32.25
-0.0,0.44,0.88,0.5,1.76,1.15,32.25
0.01,0.43,0.88,0.41,1.48,0.61,32.2
-0.0,0.43,0.87,0.43,1.47,1.02,32.25
0.0,0.44,0.87,0.66,1.36,1.24,32.2
0.0,0.44,0.87,0.67,1.24,0.87,32.39
0.0,0.45,0.87,0.79,1.07,0.32,32.25
-0.0,0.44,0.88,0.64,1.34,0.6,32.29
0.0,0.44,0.88,0.55,1.69,1.27,32.2
0.0,0.44,0.89,0.34,1.66,1.36,32.34
0.01,0.45,0.88,0.44,1.11,1.05,32.2
0.01,0.44,0.87,0.73,0.9,1.04,32.25
0.0,0.44,0.88,0.98,0.78,0.84,32.25
-0.0,0.44,0.88,0.49,1.11,0.69,32.2
0.0,0.44,0.87,0.66,1.34,0.87,32.2
0.0,0.44,0.88,0.82,1.18,1.36,32.34
0.01,0.44,0.88,1.27,1.13,1.53,32.2
0.01,0.44,0.87,1.19,1.05,1.18,32.15
0.0,0.44,0.87,1.45,1.1,1.39,32.29
-0.0,0.44,0.88,1.24,1.36,1.44,32.29
0.01,0.44,0.87,1.04,1.59,1.73,32.25
0.0,0.44,0.87,1.02,1.68,1.85,32.29
0.0,0.44,0.87,1.08,1.86,2.08,32.2
0.01,0.44,0.87,1.36,1.88,2.37,32.34
0.01,0.44,0.88,1.34,1.97,1.91,32.2
-0.0,0.45,0.87,0.96,1.51,1.47,32.29
-0.0,0.44,0.88,1.01,1.71,1.56,32.25
0.0,0.44,0.86,1.16,2.05,1.82,32.29
0.01,0.44,0.88,1.02,1.97,1.56,32.25
0.01,0.45,0.87,0.66,1.48,1.19,32.25
0.01,0.44,0.88,0.66,1.04,0.9,32.2
0.0,0.44,0.88,0.89,1.18,0.69,32.15
0.0,0.44,0.87,0.63,1.19,0.81,32.25
-0.0,0.44,0.88,0.7,1.47,0.69,32.29
-0.0,0.44,0.87,0.85,1.57,1.07,32.15
-0.01,0.44,0.88,0.76,1.44,1.16,32.2
0.0,0.45,0.87,0.82,1.33,1.01,32.11
-0.0,0.45,0.87,0.9,1.27,0.99,32.15
-0.01,0.44,0.87,0.89,1.39,1.42,32.29
0.0,0.44,0.87,1.02,1.47,1.68,32.2
-0.0,0.44,0.87,0.99,1.65,1.66,32.25
0.0,0.44,0.88,0.79,1.42,1.34,32.29
-0.0,0.44,0.87,1.1,0.96,1.11,32.25
0.0,0.44,0.88,1.44,1.11,1.39,32.25
0.01,0.45,0.87,1.4,1.05,1.34,32.11
-0.01,0.45,0.87,1.77,1.63,1.27,32.25
-0.01,0.44,0.87,1.28,2.03,1.08,32.25
-0.0,0.44,0.86,0.2,1.25,1.51,32.2
0.0,0.44,0.88,0.29,0.29,1.39,32.2
0.0,0.45,0.87,0.21,-0.44,1.33,32.25
0.0,0.46,0.87,-0.23,-0.93,1.16,32.2
-0.01,0.46,0.87,0.95,0.23,1.18,32.25
-0.01,0.46,0.87,0.17,1.07,1.8,32.25
-0.01,0.45,0.87,-1.36,1.11,3.25,32.2
0.0,0.43,0.87,-0.66,1.3,4.23,32.25
0.01,0.42,0.88,0.08,1.31,3.66,32.25
0.01,0.43,0.87,0.15,0.93,2.34,32.29
0.01,0.45,0.87,-0.49,-0.56,1.77,32.25
0.02,0.46,0.87,-0.46,-1.01,1.44,32.29
-0.0,0.46,0.87,0.44,-1.15,1.07,32.2
-0.0,0.46,0.88,-0.2,0.43,1.21,32.25
0.01,0.45,0.86,-0.96,0.82,1.76,32.2
0.01,0.44,0.87,-1.77,0.52,1.11,32.29
0.01,0.43,0.88,-1.18,-0.34,0.11,32.25
0.01,0.43,0.88,-0.4,-0.61,-1.02,32.2
0.0,0.45,0.86,-0.34,-0.75,-1.4,32.2
-0.01,0.45,0.88,-0.66,-0.47,-0.63,32.25
-0.01,0.45,0.88,-1.3,0.09,0.26,32.29
-0.0,0.45,0.88,-1.62,0.73,0.73,32.29
0.01,0.45,0.88,-0.93,0.73,0.87,32.25
0.01,0.45,0.88,-0.52,0.15,0.67,32.2
0.0,0.44,0.88,-0.52,0.02,0.81,32.11
0.0,0.44,0.88,-0.81,0.18,1.11,32.15
0.0,0.44,0.87,-0.85,0.72,1.11,32.29
0.01,0.44,0.88,-0.72,1.07,0.82,32.2
0.01,0.43,0.87,-1.1,0.17,0.23,32.25
0.0,0.44,0.87,0.41,-0.18,-0.21,32.2
-0.01,0.45,0.87,-0.95,-0.75,-0.09,32.2
0.0,0.45,0.86,-0.27,-0.26,0.95,32.25
0.01,0.45,0.88,-0.73,0.64,1.08,32.29
-0.0,0.43,0.87,-1.65,0.69,0.38,32.25
0.0,0.43,0.88,-1.98,0.18,0.32,32.25
-0.0,0.43,0.88,-1.82,-0.72,0.09,32.29
0.01,0.44,0.88,-0.96,-0.6,0.2,32.2
0.0,0.45,0.88,-0.55,-0.7,0.15,32.34
0.01,0.44,0.88,-0.95,-0.72,0.29,32.29
0.01,0.44,0.87,-0.99,-0.66,0.4,32.15
0.0,0.43,0.87,-0.82,-0.08,0.75,32.15
0.0,0.43,0.88,-0.56,0.41,0.76,32.2
-0.0,0.44,0.87,-0.47,0.53,0.67,32.25
-0.0,0.43,0.88,-0.32,0.58,0.4,32.25
