acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.5,0.86,0.27,1.34,1.24,32.48
0.01,0.48,0.85,0.85,1.28,1.45,32.53
0.02,0.49,0.85,1.02,1.91,1.19,32.58
0.01,0.5,0.86,1.21,2.24,0.63,32.53
0.0,0.48,0.85,0.12,1.94,0.34,32.53
-0.0,0.48,0.85,-0.08,1.4,0.79,32.58
0.01,0.49,0.86,0.75,1.4,1.01,32.58
0.01,0.49,0.84,0.49,0.9,0.95,32.48
0.0,0.5,0.84,0.81,0.12,0.96,32.48
-0.0,0.5,0.85,1.01,0.24,0.84,32.53
-0.02,0.49,0.85,0.73,1.31,1.77,32.48
-0.01,0.48,0.85,0.7,3.07,3.85,32.44
0.01,0.48,0.86,-0.29,3.59,4.08,32.53
0.02,0.46,0.86,-0.47,3.13,2.75,32.48
0.02,0.47,0.85,0.14,0.95,1.83,32.53
0.02,0.49,0.85,1.31,-0.76,1.48,32.39
0.02,0.51,0.85,1.63,-0.44,1.68,32.48
0.02,0.52,0.85,1.28,1.4,2.32,32.44
0.02,0.51,0.85,0.7,2.89,2.53,32.39
0.01,0.49,0.85,0.09,2.67,2.18,32.48
0.01,0.48,0.85,0.64,1.65,0.85,32.53
0.01,0.48,0.86,1.47,0.75,0.27,32.58
0.0,0.48,0.85,1.07,0.6,0.58,32.53
0.0,0.48,0.85,0.79,0.85,0.98,32.44
0.01,0.49,0.86,0.43,1.04,1.4,32.48
0.0,0.49,0.85,0.53,1.1,1.13,32.53
0.01,0.49,0.85,0.75,1.18,1.08,32.48
0.01,0.49,0.85,1.15,1.01,1.16,32.48
0.01,0.49,0.86,1.44,1.39,1.8,32.44
0.01,0.49,0.85,1.48,2.15,2.38,32.48
0.01,0.49,0.86,1.47,2.55,2.55,32.53
0.01,0.49,0.85,0.84,1.83,1.63,32.53
0.01,0.48,0.85,1.1,1.3,0.81,32.48
-0.0,0.5,0.86,1.82,0.69,0.73,32.53
-0.01,0.51,0.85,1.15,0.38,1.15,32.48
