acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.01,0.42,0.88,-0.08,-0.05,-0.02,32.11
-0.01,0.43,0.89,0.06,-0.29,0.35,32.11
-0.01,0.42,0.88,-0.03,-0.18,0.5,32.15
-0.01,0.42,0.88,0.41,-0.21,0.81,32.11
-0.02,0.43,0.87,0.27,-0.08,1.08,32.11
-0.02,0.43,0.88,0.43,0.44,1.24,32.15
-0.02,0.42,0.88,0.5,0.38,1.37,32.11
-0.02,0.43,0.88,0.53,0.72,1.74,32.11
-0.02,0.43,0.88,0.38,0.49,1.83,32.15
-0.02,0.43,0.88,0.35,0.41,1.73,32.2
-0.02,0.43,0.89,0.56,0.35,1.69,32.15
-0.01,0.43,0.89,0.64,0.55,1.63,32.06
-0.01,0.43,0.88,0.75,0.81,1.56,32.11
-0.01,0.43,0.88,0.69,0.96,1.28,32.06
-0.01,0.43,0.88,0.56,1.02,1.21,32.15
-0.01,0.43,0.88,0.35,0.43,0.81,32.2
-0.02,0.43,0.88,0.34,0.18,0.47,32.15
-0.02,0.43,0.88,0.21,0.17,0.46,32.06
-0.02,0.42,0.89,0.34,0.27,0.15,32.2
-0.01,0.42,0.88,0.09,0.15,0.02,32.11
-0.01,0.42,0.89,-0.02,0.32,0.08,32.11
-0.02,0.42,0.87,-0.2,0.41,0.12,32.11
-0.01,0.43,0.88,-0.37,0.37,0.24,32.15
-0.01,0.42,0.87,-0.46,0.41,0.26,32.11
-0.01,0.42,0.88,-0.24,0.26,0.17,32.11
-0.01,0.43,0.88,-0.12,0.03,0.37,32.25
-0.01,0.43,0.89,0.15,-0.02,0.21,32.2
-0.02,0.42,0.88,0.12,0.46,0.37,32.11
-0.02,0.42,0.89,0.61,1.21,0.67,32.15
-0.02,0.42,0.89,-0.2,0.92,1.11,32.11
-0.01,0.41,0.88,-0.17,0.53,1.34,32.11
-0.01,0.43,0.89,0.32,-0.03,0.81,32.15
-0.01,0.43,0.88,-0.34,-1.04,0.24,32.2
-0.02,0.44,0.87,0.32,-1.3,0.12,32.15
-0.03,0.44,0.87,0.29,-0.64,1.15,32.15
-0.02,0.44,0.88,-0.56,0.55,2.98,32.11
-0.01,0.42,0.88,-0.29,0.99,4.24,32.06
-0.0,0.41,0.88,-0.46,2.66,3.57,32.11
-0.01,0.4,0.88,-0.15,2.26,2.06,32.11
-0.01,0.41,0.88,-0.21,0.84,1.47,32.06
-0.01,0.43,0.87,0.55,-1.13,0.89,32.2
-0.01,0.44,0.88,0.41,-0.44,0.53,32.11
-0.01,0.45,0.88,-0.05,0.53,0.79,32.15
-0.02,0.44,0.88,-0.82,0.58,1.1,32.11
-0.01,0.43,0.88,-1.13,0.24,0.92,32.15
-0.01,0.41,0.88,-0.89,0.32,0.44,32.06
-0.0,0.41,0.88,0.08,0.11,-0.24,32.2
-0.01,0.41,0.88,0.05,0.12,-0.5,32.15
