acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.0,0.42,0.88,0.12,0.47,0.75,32.34
-0.01,0.42,0.87,0.18,0.56,0.78,32.34
-0.01,0.43,0.88,0.11,0.96,0.92,32.29
-0.01,0.44,0.89,0.5,0.89,0.84,32.25
-0.01,0.43,0.88,0.23,0.66,1.27,32.34
-0.01,0.43,0.88,0.09,0.6,1.33,32.29
-0.01,0.44,0.88,-0.05,0.92,1.36,32.25
-0.0,0.43,0.88,0.02,0.78,1.54,32.29
0.0,0.44,0.88,0.4,0.61,1.27,32.29
0.0,0.43,0.88,0.41,0.32,0.92,32.34
-0.01,0.43,0.88,0.64,0.21,0.76,32.29
-0.01,0.44,0.87,0.76,0.27,0.46,32.29
-0.0,0.43,0.88,0.55,0.26,0.84,32.34
-0.0,0.43,0.87,0.5,0.26,0.81,32.39
-0.01,0.43,0.87,0.78,0.52,0.96,32.34
-0.01,0.43,0.88,0.85,0.44,1.15,32.34
-0.0,0.43,0.88,0.67,0.75,1.3,32.2
-0.0,0.43,0.87,0.73,0.52,1.48,32.34
-0.01,0.44,0.88,0.84,0.89,1.54,32.2
-0.0,0.43,0.89,0.99,0.95,1.51,32.39
-0.0,0.43,0.88,0.72,1.07,1.8,32.34
-0.01,0.44,0.88,0.6,1.11,1.77,32.29
-0.0,0.43,0.88,0.5,1.24,1.59,32.29
-0.01,0.43,0.88,0.7,1.08,1.37,32.25
-0.0,0.44,0.89,0.6,1.1,1.39,32.39
-0.01,0.44,0.88,0.44,1.16,1.31,32.34
-0.0,0.44,0.87,0.47,1.19,1.16,32.25
-0.01,0.44,0.88,0.27,0.96,0.67,32.29
-0.01,0.44,0.88,0.4,0.96,0.55,32.25
-0.01,0.43,0.88,0.29,0.98,0.41,32.34
-0.01,0.44,0.88,0.05,0.78,0.49,32.29
-0.01,0.44,0.87,0.08,0.52,0.32,32.15
-0.01,0.43,0.88,0.24,0.61,0.5,32.29
-0.01,0.43,0.88,0.49,0.64,0.84,32.29
-0.0,0.43,0.88,0.43,1.1,0.82,32.34
-0.01,0.43,0.87,0.32,0.98,0.79,32.29
-0.01,0.43,0.88,0.37,0.87,1.27,32.2
-0.0,0.43,0.88,0.5,0.93,1.68,32.34
-0.01,0.43,0.88,0.76,0.87,1.44,32.29
-0.01,0.44,0.87,1.31,0.99,1.07,32.34
-0.01,0.44,0.88,1.31,1.45,1.4,32.34
-0.0,0.44,0.88,0.4,1.21,1.76,32.29
-0.0,0.43,0.89,0.29,1.16,2.11,32.2
0.0,0.43,0.88,1.34,1.22,1.86,32.34
-0.0,0.44,0.88,0.67,0.35,1.42,32.29
-0.01,0.45,0.87,1.16,-0.46,1.05,32.34
