acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.02,0.45,0.87,0.03,0.82,0.96,32.29
-0.02,0.45,0.87,-0.05,0.81,0.73,32.29
-0.02,0.45,0.88,-0.4,0.56,0.66,32.34
-0.02,0.45,0.86,-0.47,0.24,0.47,32.29
-0.02,0.45,0.87,-0.21,0.29,0.53,32.34
-0.02,0.45,0.88,0.0,0.44,0.29,32.29
-0.02,0.45,0.86,-0.03,0.15,0.26,32.29
-0.02,0.45,0.87,0.08,-0.11,-0.2,32.34
-0.02,0.44,0.87,0.17,-0.05,-0.08,32.39
-0.03,0.44,0.86,0.56,0.02,0.31,32.39
-0.03,0.44,0.88,0.5,0.24,0.85,32.34
-0.02,0.44,0.88,0.31,0.08,0.85,32.39
-0.02,0.44,0.87,-0.21,0.43,0.69,32.39
-0.02,0.44,0.87,0.69,0.49,0.85,32.34
-0.02,0.44,0.87,0.95,0.56,0.96,32.29
-0.02,0.45,0.87,0.55,0.41,1.27,32.34
-0.02,0.45,0.87,-0.09,0.52,1.19,32.44
-0.02,0.45,0.87,0.08,0.93,1.53,32.29
-0.03,0.45,0.87,0.75,1.21,1.82,32.44
-0.02,0.46,0.87,0.53,1.16,1.86,32.34
-0.02,0.45,0.88,0.35,0.55,1.27,32.48
-0.02,0.45,0.87,0.24,0.41,0.98,32.34
-0.02,0.45,0.87,0.32,0.63,0.87,32.25
-0.02,0.45,0.87,0.4,0.85,0.84,32.29
-0.02,0.45,0.87,0.21,0.93,0.75,32.34
-0.02,0.45,0.87,-0.37,0.37,0.37,32.39
-0.03,0.45,0.88,-0.31,0.21,0.11,32.39
-0.02,0.45,0.87,-0.08,0.52,0.26,32.34
-0.02,0.45,0.88,0.08,0.64,0.43,32.39
-0.02,0.44,0.87,-0.03,1.04,0.5,32.39
-0.02,0.45,0.87,-0.31,0.12,0.26,32.44
-0.03,0.45,0.86,-0.06,-0.03,0.34,32.39
-0.02,0.45,0.87,0.41,0.41,0.79,32.34
-0.03,0.44,0.88,0.17,0.63,0.76,32.34
-0.02,0.45,0.86,0.14,0.76,0.92,32.39
-0.02,0.45,0.87,0.2,0.66,1.01,32.39
-0.02,0.44,0.87,0.27,0.43,1.22,32.34
-0.02,0.45,0.88,0.49,0.55,1.56,32.29
-0.02,0.45,0.88,0.46,0.67,1.28,32.34
-0.02,0.44,0.87,0.81,0.73,1.08,32.34
-0.02,0.45,0.87,1.11,0.93,1.07,32.29
-0.03,0.45,0.87,0.32,0.89,1.3,32.44
-0.02,0.44,0.87,-0.11,0.35,1.15,32.29
-0.02,0.44,0.88,0.7,0.72,1.04,32.29
-0.01,0.45,0.87,0.72,0.02,0.76,32.25
-0.02,0.45,0.87,0.38,-0.56,0.75,32.29
-0.03,0.46,0.87,0.84,-0.9,0.95,32.29
-0.03,0.46,0.87,-0.24,0.06,2.15,32.44
-0.03,0.44,0.88,-0.44,1.47,3.91,32.39
-0.02,0.43,0.87,-0.31,2.6,4.02,32.34
-0.0,0.43,0.87,-0.35,2.66,2.26,32.34
-0.02,0.43,0.88,-0.21,1.42,1.5,32.39
-0.01,0.44,0.88,0.0,-0.89,0.76,32.34
-0.01,0.46,0.87,0.43,-1.37,0.35,32.34
-0.02,0.47,0.87,0.89,0.82,1.25,32.39
-0.02,0.47,0.87,0.09,1.63,1.91,32.34
-0.01,0.45,0.86,-0.93,1.22,1.42,32.39
-0.01,0.44,0.87,-0.76,0.87,0.58,32.39
-0.02,0.44,0.88,0.21,0.32,-0.11,32.25
-0.01,0.43,0.86,0.93,0.26,-0.08,32.39
-0.02,0.45,0.87,0.63,-0.31,0.2,32.39
-0.03,0.44,0.87,0.12,-0.24,0.35,32.34
-0.03,0.44,0.88,0.03,0.56,1.07,32.29
-0.03,0.45,0.88,0.5,1.08,1.48,32.39
-0.02,0.44,0.87,0.82,1.18,1.85,32.34
-0.01,0.44,0.87,0.69,1.08,1.97,32.39
-0.01,0.45,0.87,0.61,0.79,1.91,32.34
-0.01,0.45,0.88,0.53,0.82,2.2,32.34
-0.01,0.45,0.88,1.19,1.63,2.05,32.39
-0.0,0.44,0.87,0.81,1.15,1.27,32.29
-0.01,0.45,0.87,1.08,0.95,0.44,32.34
-0.03,0.46,0.89,0.98,0.61,0.14,32.29
-0.03,0.46,0.87,0.4,0.4,0.81,32.44
-0.02,0.45,0.87,0.52,1.47,1.33,32.39
-0.03,0.44,0.86,-0.53,1.62,0.58,32.29
