acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.0,0.46,0.86,-1.57,-0.32,0.2,32.48
0.0,0.48,0.86,-0.75,-1.05,-0.17,32.62
0.01,0.49,0.87,0.08,-1.25,-0.12,32.58
0.01,0.49,0.86,-0.2,-0.5,0.17,32.48
0.01,0.47,0.86,-0.76,0.24,0.29,32.53
0.01,0.47,0.85,-0.43,0.67,0.63,32.48
0.0,0.46,0.86,0.09,0.99,1.04,32.53
0.01,0.47,0.87,0.23,0.61,1.22,32.44
0.01,0.47,0.86,0.43,0.09,1.18,32.58
0.01,0.47,0.86,0.26,0.2,1.18,32.44
0.01,0.47,0.86,0.46,0.78,1.27,32.48
0.0,0.47,0.87,0.56,0.79,1.36,32.48
0.0,0.47,0.85,0.63,0.5,1.39,32.53
0.0,0.48,0.86,0.44,0.5,1.69,32.48
0.01,0.48,0.86,0.58,0.52,1.8,32.48
0.01,0.48,0.86,0.37,0.84,1.62,32.44
0.01,0.47,0.87,0.52,0.7,1.3,32.58
0.0,0.48,0.85,0.73,0.12,1.01,32.44
0.01,0.48,0.86,1.05,0.12,0.98,32.58
0.01,0.48,0.86,0.75,0.2,0.79,32.39
0.01,0.48,0.85,0.92,0.21,0.67,32.62
0.0,0.48,0.86,0.92,0.15,0.7,32.48
0.01,0.47,0.85,0.82,0.21,0.99,32.48
0.0,0.48,0.86,0.61,0.52,1.02,32.44
0.0,0.48,0.86,0.35,0.46,1.27,32.58
0.0,0.47,0.86,0.46,0.49,1.31,32.58
0.01,0.47,0.85,0.78,0.75,1.6,32.53
0.01,0.47,0.86,0.85,0.55,1.25,32.48
0.01,0.48,0.86,0.69,0.56,1.33,32.53
0.01,0.48,0.86,0.66,0.85,1.56,32.58
0.01,0.48,0.86,0.85,1.21,1.85,32.48
0.01,0.48,0.86,0.67,1.56,1.73,32.53
0.0,0.48,0.86,0.29,0.78,1.15,32.48
0.01,0.48,0.86,0.2,0.21,0.79,32.44
0.01,0.48,0.87,0.46,0.44,1.1,32.53
0.01,0.48,0.85,0.52,1.02,0.98,32.48
0.01,0.49,0.86,-0.05,0.64,0.47,32.39
0.01,0.47,0.87,-0.15,-0.02,0.2,32.48
0.01,0.47,0.85,0.06,-0.06,0.61,32.58
0.01,0.47,0.86,0.4,0.37,0.61,32.62
0.01,0.48,0.85,0.26,0.7,0.43,32.48
0.01,0.48,0.85,0.29,0.85,0.31,32.58
0.0,0.48,0.86,0.44,0.89,0.47,32.62
0.0,0.47,0.85,-0.12,0.81,1.07,32.48
0.01,0.47,0.87,0.38,1.16,1.4,32.44
0.02,0.48,0.86,0.76,0.78,1.25,32.53
0.01,0.48,0.86,0.27,-0.52,0.81,32.48
0.0,0.49,0.85,1.05,-1.15,0.64,32.53
-0.0,0.49,0.86,1.37,-0.63,1.25,32.48
-0.01,0.48,0.86,0.41,0.41,2.72,32.48
0.0,0.48,0.86,-0.06,1.6,4.18,32.53
0.01,0.46,0.86,-0.14,2.21,3.48,32.48
0.02,0.45,0.87,0.23,2.2,1.97,32.53
0.01,0.46,0.86,0.52,0.79,1.19,32.44
0.0,0.48,0.86,0.5,-1.19,0.95,32.39
0.02,0.49,0.85,-0.08,-1.77,0.7,32.53
0.02,0.51,0.85,-0.08,-0.05,1.39,32.58
0.01,0.49,0.86,0.08,1.66,1.79,32.48
0.02,0.49,0.86,-0.11,1.88,1.13,32.62
0.02,0.47,0.86,0.02,0.89,0.08,32.39
0.01,0.47,0.86,0.08,-0.05,-0.26,32.53
0.0,0.47,0.86,0.31,-0.78,-0.18,32.53
0.01,0.48,0.86,0.12,-1.01,0.32,32.48
0.01,0.47,0.86,-0.09,-0.2,0.73,32.53
0.01,0.48,0.85,0.35,0.44,1.11,32.58
0.01,0.48,0.86,0.34,0.85,1.5,32.58
0.01,0.48,0.86,0.55,0.08,1.62,32.53
0.01,0.48,0.86,0.37,-0.37,1.6,32.48
0.01,0.47,0.86,0.46,0.27,1.85,32.48
0.02,0.47,0.86,1.02,1.24,2.29,32.44
0.02,0.48,0.86,0.09,1.27,1.54,32.58
0.02,0.47,0.87,0.58,0.69,0.61,32.53
