acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.43,0.87,-0.58,0.9,0.7,32.53
0.02,0.43,0.88,-0.44,0.53,0.37,32.48
0.02,0.43,0.89,-0.26,0.18,-0.32,32.48
0.01,0.43,0.88,-0.03,-0.38,-0.46,32.53
0.0,0.44,0.87,0.26,-0.52,-0.2,32.48
0.01,0.44,0.88,-0.23,-0.09,0.43,32.53
0.0,0.43,0.89,-0.09,0.37,0.95,32.53
0.01,0.44,0.88,0.46,0.67,0.75,32.39
0.0,0.44,0.88,0.47,0.66,0.89,32.39
0.0,0.44,0.89,0.7,0.69,1.27,32.48
0.02,0.44,0.88,0.67,0.92,1.57,32.67
0.02,0.43,0.88,0.72,0.93,1.8,32.44
0.02,0.43,0.88,0.23,0.81,1.21,32.58
0.02,0.44,0.88,0.23,-0.11,0.2,32.48
0.0,0.44,0.88,1.02,-0.21,0.02,32.53
-0.01,0.44,0.89,0.4,-0.32,0.55,32.58
0.01,0.45,0.88,0.61,0.24,1.22,32.53
0.01,0.44,0.87,-0.05,1.08,1.3,32.44
0.01,0.43,0.88,-0.63,1.13,0.44,32.48
0.0,0.43,0.87,-1.59,0.17,-0.05,32.53
0.0,0.44,0.88,-1.57,-0.81,-0.35,32.48
0.01,0.44,0.88,-0.63,-0.79,-0.49,32.48
0.02,0.44,0.89,-0.43,-0.05,-0.14,32.53
0.01,0.44,0.87,-0.61,0.29,-0.09,32.58
0.02,0.44,0.88,-0.98,0.44,0.02,32.53
0.01,0.43,0.87,-0.98,0.24,0.21,32.53
0.01,0.42,0.87,-0.49,0.4,0.46,32.48
0.01,0.43,0.87,-0.12,0.67,0.61,32.53
0.01,0.44,0.88,-0.52,0.9,0.78,32.39
0.01,0.44,0.88,-0.52,0.58,0.5,32.39
0.0,0.43,0.87,-0.49,0.24,0.41,32.44
0.0,0.43,0.88,-0.23,0.34,0.58,32.48
0.0,0.43,0.88,-0.2,0.46,0.72,32.53
0.01,0.44,0.88,-0.38,0.63,0.73,32.53
0.01,0.43,0.88,-0.31,0.46,0.41,32.58
0.01,0.43,0.88,-0.12,0.49,0.49,32.44
0.01,0.43,0.88,0.06,0.5,0.43,32.48
0.01,0.43,0.88,-0.05,0.17,0.5,32.39
0.01,0.43,0.88,-0.08,0.05,0.21,32.44
0.01,0.43,0.87,0.21,-0.02,0.17,32.48
0.01,0.43,0.87,0.06,-0.11,0.18,32.58
0.01,0.43,0.88,0.18,-0.15,0.27,32.44
0.01,0.43,0.88,0.2,-0.37,0.32,32.58
0.02,0.43,0.88,0.32,0.02,0.58,32.53
0.01,0.43,0.88,0.35,0.11,0.87,32.58
0.0,0.43,0.88,-0.27,0.26,1.01,32.39
0.01,0.43,0.88,0.03,0.32,0.95,32.53
0.0,0.43,0.87,0.43,0.31,0.76,32.48
0.01,0.43,0.88,0.53,0.55,1.3,32.48
0.02,0.43,0.89,0.09,0.61,1.24,32.44
0.01,0.44,0.88,-0.03,0.56,1.31,32.48
0.02,0.43,0.87,-0.05,0.75,1.31,32.58
0.02,0.42,0.88,0.14,0.9,1.45,32.53
0.02,0.43,0.88,-0.49,0.81,1.1,32.48
0.02,0.43,0.88,-0.7,0.49,0.82,32.53
0.02,0.43,0.87,-1.05,0.18,0.5,32.48
0.02,0.44,0.88,-1.47,-0.58,0.2,32.48
