acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.45,0.87,0.78,0.26,1.39,32.44
0.01,0.46,0.87,0.46,0.35,1.31,32.48
0.01,0.46,0.87,0.6,0.2,1.24,32.48
0.0,0.46,0.87,0.53,0.24,0.96,32.44
0.01,0.46,0.87,0.27,0.27,0.92,32.58
0.01,0.46,0.86,0.12,0.03,0.76,32.48
0.01,0.46,0.87,0.32,-0.31,0.56,32.44
0.01,0.45,0.87,0.49,0.02,0.55,32.48
0.01,0.45,0.87,0.24,0.08,0.72,32.44
0.01,0.45,0.87,0.06,0.21,0.49,32.62
0.01,0.45,0.87,0.21,0.0,0.55,32.39
0.01,0.45,0.87,0.37,0.08,0.73,32.44
0.01,0.46,0.88,0.61,0.11,1.04,32.39
0.01,0.46,0.86,0.29,0.24,1.15,32.48
0.01,0.46,0.87,0.27,0.32,1.16,32.44
0.02,0.45,0.86,0.58,0.14,1.3,32.48
0.01,0.45,0.87,0.46,0.31,1.39,32.48
0.01,0.45,0.86,0.5,0.21,1.54,32.44
0.01,0.46,0.87,0.23,0.06,1.51,32.48
0.02,0.46,0.87,0.14,-0.21,1.22,32.53
0.01,0.46,0.86,0.58,-0.06,1.1,32.39
0.01,0.46,0.87,1.28,1.02,1.13,32.67
0.01,0.45,0.87,1.18,1.27,0.76,32.53
0.01,0.45,0.87,0.47,1.45,1.18,32.48
0.01,0.45,0.88,0.92,1.19,1.11,32.53
0.01,0.46,0.87,0.52,-0.15,1.22,32.44
0.02,0.46,0.87,-0.12,-1.4,0.56,32.48
0.0,0.46,0.85,0.37,-1.18,0.53,32.48
-0.0,0.46,0.86,0.03,-0.95,1.16,32.48
-0.0,0.46,0.87,0.44,1.13,2.99,32.48
0.03,0.45,0.87,0.95,3.65,3.88,32.53
0.03,0.43,0.86,0.72,4.02,2.66,32.48
0.03,0.44,0.87,0.87,2.58,1.28,32.39
0.01,0.45,0.88,0.89,-0.47,0.56,32.44
0.02,0.47,0.86,-0.53,-2.58,0.72,32.48
0.02,0.48,0.87,-1.95,-2.6,0.76,32.53
0.02,0.47,0.86,-2.17,-0.92,1.16,32.53
0.01,0.47,0.87,-1.04,0.95,1.28,32.39
0.02,0.45,0.87,0.41,1.71,0.84,32.53
0.02,0.45,0.87,1.48,1.73,0.12,32.39
0.01,0.45,0.87,1.56,0.76,-0.69,32.39
0.0,0.45,0.87,0.11,-0.52,-0.35,32.53
-0.0,0.45,0.88,-1.21,-1.68,0.38,32.58
0.01,0.46,0.87,-1.42,-1.34,0.78,32.53
0.01,0.46,0.87,-0.5,-0.24,1.16,32.53
0.01,0.46,0.87,0.58,1.16,1.6,32.48
0.02,0.45,0.88,1.68,1.94,1.47,32.53
0.02,0.46,0.87,1.62,2.06,1.73,32.44
0.02,0.45,0.87,0.82,1.3,1.83,32.48
0.02,0.45,0.87,0.15,0.44,1.66,32.44
0.03,0.45,0.87,0.0,0.52,1.13,32.48
0.02,0.46,0.86,-0.82,-0.67,0.34,32.39
0.02,0.46,0.87,0.0,-0.46,-0.14,32.44
-0.0,0.47,0.87,0.12,-0.09,-0.05,32.39
-0.0,0.47,0.87,0.38,0.06,0.58,32.53
0.01,0.46,0.85,0.38,1.42,0.82,32.44
0.01,0.45,0.88,-0.14,2.17,0.37,32.48
0.01,0.45,0.87,-0.53,1.37,-0.02,32.44
0.01,0.45,0.87,-0.41,-0.06,-0.18,32.48
0.02,0.45,0.87,-0.61,-0.87,-0.34,32.48
0.02,0.46,0.87,-0.7,-0.7,-0.27,32.53
0.01,0.46,0.86,-0.63,0.41,0.11,32.58
0.01,0.46,0.87,-0.41,0.95,0.44,32.44
0.02,0.46,0.87,0.03,1.07,0.72,32.53
0.01,0.45,0.87,0.47,1.21,0.92,32.58
0.02,0.45,0.87,0.38,1.01,1.07,32.53
0.01,0.46,0.88,0.21,0.56,1.02,32.44
0.02,0.45,0.87,-0.14,0.15,1.22,32.48
0.01,0.45,0.87,-0.15,0.15,0.99,32.53
0.01,0.45,0.87,-0.17,0.4,1.11,32.48
0.01,0.46,0.87,-0.08,0.61,1.24,32.39
0.01,0.45,0.86,0.03,0.92,1.22,32.44
0.01,0.45,0.86,0.35,1.18,0.98,32.48
0.01,0.45,0.87,0.44,1.02,1.13,32.53
0.02,0.45,0.87,0.31,0.85,0.99,32.44
0.02,0.46,0.87,0.29,0.41,0.93,32.48
0.02,0.46,0.87,0.34,0.24,0.63,32.53
0.02,0.46,0.88,0.6,0.32,0.87,32.39
0.0,0.46,0.87,0.78,0.63,0.75,32.48
0.01,0.45,0.86,0.95,0.69,1.08,32.53
0.01,0.45,0.87,1.11,0.84,1.15,32.39
0.01,0.45,0.87,0.99,0.81,1.21,32.39
0.02,0.45,0.87,0.66,0.63,1.27,32.44
0.01,0.45,0.87,0.67,0.87,1.71,32.48
0.01,0.46,0.87,0.78,0.82,2.05,32.53
0.02,0.46,0.86,0.79,1.05,1.71,32.44
0.02,0.46,0.87,0.9,1.15,2.23,32.48
0.01,0.46,0.86,0.81,1.34,1.97,32.44
0.01,0.46,0.87,0.61,1.21,1.85,32.39
0.02,0.45,0.87,0.63,1.45,1.88,32.39
0.01,0.46,0.86,0.34,1.37,1.54,32.44
0.02,0.46,0.86,0.14,0.96,1.27,32.58
0.02,0.46,0.86,-0.15,0.84,1.11,32.58
0.01,0.45,0.87,-0.02,0.73,0.87,32.44
0.01,0.47,0.87,0.02,0.75,0.35,32.48
0.02,0.46,0.87,0.24,0.96,0.29,32.53
0.01,0.46,0.87,0.46,0.93,0.18,32.48
0.01,0.46,0.86,0.08,1.19,-0.06,32.48
0.01,0.46,0.87,-0.08,1.02,0.26,32.53
0.01,0.45,0.87,-0.29,0.99,0.38,32.39
0.02,0.46,0.86,-0.12,0.95,0.38,32.44
0.01,0.46,0.87,-0.18,0.72,0.63,32.44
0.01,0.45,0.87,-0.08,0.9,0.63,32.48
0.01,0.45,0.87,0.15,0.98,1.11,32.48
0.01,0.45,0.87,0.17,1.6,1.54,32.48
0.02,0.46,0.86,0.24,1.16,1.48,32.48
0.01,0.46,0.87,0.38,1.04,1.47,32.53
0.01,0.46,0.87,0.35,0.95,1.62,32.48
0.01,0.46,0.87,0.35,1.21,1.34,32.39
0.01,0.45,0.87,0.21,1.25,1.13,32.44
0.01,0.46,0.86,-0.23,1.53,1.22,32.58
0.01,0.45,0.87,-0.23,1.48,1.36,32.44
0.01,0.45,0.88,-0.35,0.99,1.01,32.53
0.01,0.46,0.87,-0.58,0.85,0.6,32.48
0.01,0.46,0.87,-0.4,0.9,0.31,32.53
0.0,0.45,0.87,-0.05,1.63,0.0,32.48
0.01,0.45,0.87,0.02,2.03,0.4,32.39
0.01,0.45,0.88,-0.11,2.55,0.92,32.53
0.01,0.44,0.87,0.61,2.18,1.11,32.48
0.01,0.45,0.87,0.35,0.9,0.55,32.44
0.01,0.46,0.86,-0.79,-0.29,0.55,32.53
0.0,0.46,0.87,-0.29,-0.56,0.78,32.48
-0.01,0.46,0.88,-0.21,-0.05,1.4,32.53
0.0,0.45,0.87,0.21,1.6,3.05,32.44
0.02,0.45,0.87,0.7,3.71,3.94,32.39
0.03,0.44,0.87,0.6,4.5,3.13,32.34
0.02,0.43,0.87,0.67,3.1,1.98,32.58
0.01,0.45,0.87,0.67,0.93,1.63,32.58
0.02,0.46,0.86,-0.11,-1.4,1.3,32.53
0.02,0.48,0.86,-1.05,-1.5,1.42,32.48
0.02,0.47,0.87,-1.18,0.4,1.76,32.53
0.01,0.46,0.87,-0.27,1.94,1.83,32.53
0.01,0.45,0.88,1.19,2.76,1.11,32.48
0.02,0.45,0.87,1.71,2.46,0.4,32.53
0.01,0.44,0.87,1.24,1.33,0.17,32.48
0.0,0.44,0.87,0.21,0.44,0.52,32.58
0.01,0.45,0.88,-0.29,-0.09,1.07,32.44
0.01,0.45,0.88,0.05,0.73,1.6,32.48
0.0,0.46,0.87,0.85,1.97,1.63,32.39
0.01,0.45,0.87,1.39,2.93,2.0,32.44
0.01,0.46,0.86,1.73,2.87,2.41,32.48
0.02,0.46,0.87,1.28,2.06,2.4,32.44
0.01,0.46,0.87,0.7,1.54,2.47,32.44
0.01,0.46,0.88,0.67,1.86,2.24,32.48
0.02,0.46,0.87,1.22,2.23,1.74,32.44
0.02,0.46,0.87,0.67,1.39,1.02,32.48
0.01,0.46,0.87,1.15,1.68,0.7,32.58
0.01,0.47,0.86,1.18,0.93,0.49,32.44
0.0,0.46,0.87,0.93,0.84,1.42,32.48
0.01,0.45,0.85,1.1,2.21,1.69,32.48
0.01,0.44,0.87,-0.24,2.98,1.1,32.44
0.01,0.44,0.87,-1.07,1.68,0.38,32.48
0.01,0.44,0.87,-0.72,0.41,0.7,32.53
0.01,0.46,0.86,0.23,0.82,0.87,32.53
0.01,0.47,0.87,0.31,1.59,0.79,32.48
0.01,0.46,0.88,0.05,1.82,0.81,32.53
0.0,0.46,0.87,-0.09,1.76,1.22,32.53
0.01,0.45,0.86,0.41,1.63,1.66,32.58
0.01,0.45,0.87,0.79,2.05,1.53,32.44
0.01,0.45,0.87,0.87,2.17,1.16,32.39
0.01,0.45,0.86,0.99,2.17,0.92,32.39
0.0,0.45,0.86,0.79,1.85,1.1,32.53
0.01,0.45,0.86,0.84,1.97,0.87,32.58
0.01,0.45,0.87,0.84,2.02,1.18,32.53
0.01,0.45,0.88,0.5,2.12,0.72,32.44
0.01,0.46,0.86,0.49,2.06,0.61,32.48
0.01,0.46,0.86,0.6,1.91,0.89,32.53
0.01,0.46,0.87,0.55,1.54,0.75,32.62
0.01,0.46,0.87,0.31,1.56,0.89,32.48
0.0,0.45,0.87,0.66,1.19,1.08,32.53
0.01,0.45,0.87,0.89,1.36,1.68,32.48
0.01,0.45,0.86,1.19,1.34,1.66,32.48
0.01,0.45,0.87,1.54,1.53,1.39,32.44
0.01,0.45,0.87,1.73,1.86,1.31,32.39
0.0,0.45,0.86,1.65,1.54,1.69,32.53
-0.0,0.46,0.87,1.24,1.74,1.56,32.53
-0.0,0.46,0.87,1.22,1.73,1.47,32.48
0.01,0.46,0.88,1.4,2.03,1.57,32.53
0.01,0.46,0.87,1.66,2.03,1.6,32.53
-0.0,0.47,0.87,1.11,1.66,1.62,32.39
0.01,0.46,0.87,1.01,1.3,1.22,32.44
0.01,0.46,0.88,0.85,1.76,1.24,32.48
0.0,0.46,0.87,0.92,2.0,1.08,32.48
0.01,0.46,0.87,1.11,2.17,0.98,32.53
0.01,0.46,0.86,0.89,2.2,1.37,32.48
0.01,0.46,0.87,0.55,1.88,1.37,32.53
0.01,0.45,0.86,0.55,1.79,1.42,32.44
0.01,0.46,0.87,0.73,1.86,1.18,32.48
-0.0,0.45,0.88,0.81,1.94,0.79,32.53
0.0,0.46,0.86,0.5,1.74,0.81,32.48
-0.01,0.45,0.87,0.38,1.83,0.76,32.48
0.01,0.45,0.87,0.4,1.73,1.16,32.53
0.01,0.46,0.86,0.38,1.83,1.19,32.48
0.01,0.46,0.86,0.44,1.42,0.81,32.48
0.01,0.46,0.87,0.6,1.22,0.76,32.53
-0.0,0.45,0.87,0.85,1.15,0.6,32.48
0.0,0.45,0.87,1.15,1.54,0.95,32.53
-0.0,0.46,0.87,1.07,1.5,0.92,32.53
0.0,0.46,0.86,1.22,1.19,0.96,32.48
-0.0,0.46,0.87,1.22,1.27,0.82,32.44
-0.0,0.46,0.87,1.19,1.3,1.08,32.53
0.0,0.46,0.87,1.21,1.37,1.34,32.48
-0.0,0.45,0.87,1.24,1.42,1.4,32.44
0.0,0.45,0.87,1.04,1.86,1.48,32.48
-0.0,0.46,0.87,0.96,1.74,1.51,32.48
0.0,0.46,0.87,0.76,1.71,1.53,32.53
-0.0,0.46,0.87,0.92,1.69,1.62,32.48
0.0,0.46,0.88,1.22,1.07,1.13,32.48
-0.0,0.46,0.86,1.3,2.05,1.42,32.44
-0.0,0.46,0.86,0.99,2.64,1.19,32.48
-0.0,0.45,0.87,-0.11,2.12,1.19,32.44
