acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.01,0.43,0.87,-0.27,0.4,0.6,32.58
0.01,0.43,0.88,0.05,0.14,0.47,32.44
0.01,0.43,0.87,0.55,0.53,0.79,32.44
0.01,0.43,0.87,0.64,0.56,1.1,32.48
0.01,0.43,0.89,0.64,0.27,1.13,32.44
0.01,0.43,0.88,0.63,0.29,0.67,32.48
0.01,0.44,0.88,0.66,0.08,1.01,32.48
0.01,0.44,0.88,0.46,0.08,0.98,32.44
0.0,0.44,0.87,0.56,0.41,1.5,32.48
0.0,0.44,0.87,0.67,0.64,1.66,32.48
0.01,0.43,0.88,0.35,0.52,1.63,32.53
0.01,0.44,0.88,0.52,0.58,1.48,32.48
0.02,0.43,0.87,0.43,0.99,1.65,32.44
0.01,0.44,0.88,0.47,0.93,1.45,32.44
0.01,0.44,0.88,0.38,0.79,1.13,32.48
0.01,0.44,0.88,0.38,0.81,0.95,32.53
0.01,0.45,0.88,0.31,0.82,0.79,32.48
0.01,0.45,0.88,0.18,0.73,0.76,32.48
0.01,0.44,0.88,0.09,0.49,0.6,32.53
0.01,0.44,0.87,-0.03,0.27,0.46,32.48
0.01,0.44,0.86,-0.05,0.49,0.37,32.48
0.01,0.44,0.87,-0.18,0.41,0.27,32.44
0.01,0.44,0.87,-0.32,0.29,0.12,32.48
0.0,0.43,0.88,-0.31,0.46,0.12,32.44
0.01,0.43,0.88,-0.12,0.44,0.31,32.44
0.01,0.45,0.87,-0.35,0.44,0.18,32.48
0.01,0.44,0.88,-0.4,0.24,0.61,32.44
0.02,0.44,0.88,0.05,0.18,0.84,32.48
0.01,0.43,0.88,0.08,0.47,0.79,32.39
0.01,0.44,0.88,0.47,0.87,0.72,32.44
0.0,0.43,0.88,0.9,1.4,0.85,32.39
0.01,0.43,0.88,0.64,1.31,1.4,32.48
0.01,0.43,0.88,0.58,1.16,1.77,32.44
0.02,0.44,0.88,0.89,0.41,1.51,32.48
0.01,0.45,0.87,0.23,-0.93,0.72,32.44
0.01,0.45,0.87,0.56,-1.3,0.87,32.48
-0.0,0.44,0.88,0.76,-0.49,1.62,32.39
-0.01,0.44,0.89,0.37,0.75,2.69,32.44
-0.0,0.43,0.88,0.64,2.09,3.88,32.48
0.02,0.43,0.88,0.78,2.85,3.25,32.58
0.02,0.42,0.89,0.66,2.52,1.69,32.53
0.01,0.42,0.88,0.82,0.95,1.21,32.48
0.02,0.44,0.88,0.23,-0.98,0.98,32.48
0.01,0.45,0.87,-0.72,-2.26,0.92,32.44
0.01,0.46,0.88,-1.47,-1.31,0.92,32.48
0.02,0.45,0.87,-0.99,0.26,1.45,32.44
0.01,0.44,0.88,-0.11,1.51,1.21,32.48
0.02,0.43,0.89,1.18,1.4,0.55,32.48
0.03,0.43,0.88,1.88,0.47,-0.17,32.44
0.01,0.44,0.88,1.63,-0.29,-0.06,32.58
0.01,0.43,0.86,1.4,-1.6,0.49,32.48
0.01,0.44,0.87,1.02,-1.71,0.96,32.34
0.01,0.44,0.87,1.11,-0.95,1.5,32.48
0.01,0.44,0.88,2.55,0.15,1.53,32.48
0.01,0.44,0.88,4.2,0.49,1.16,32.34
0.01,0.44,0.88,5.07,0.41,1.1,32.48
0.0,0.43,0.88,4.53,0.4,0.84,32.53
0.01,0.44,0.88,4.17,0.02,0.66,32.39
0.01,0.44,0.88,3.98,0.23,0.72,32.58
0.01,0.44,0.88,3.45,-1.04,0.9,32.53
0.02,0.44,0.87,4.23,0.11,0.9,32.48
0.02,0.45,0.89,4.82,0.03,1.31,32.48
0.02,0.46,0.88,5.04,0.56,0.78,32.44
0.02,0.46,0.87,5.3,1.5,0.26,32.39
0.01,0.45,0.87,5.56,2.24,0.41,32.39
0.01,0.44,0.86,3.91,1.89,0.66,32.44
-0.0,0.43,0.87,3.76,0.75,0.66,32.39
0.0,0.46,0.87,3.37,-0.12,1.13,32.34
0.02,0.47,0.87,2.55,-1.31,1.11,32.48
